爸爸 ba4ba5 "(informal) father"
本质 ben3zhi4 "essence; nature; innate character; intrinsic quality"
辩论 bian4lun4 "debate; argument; to argue over"
鞭炮 bian1pao4 "firecrackers; string of small firecrackers"
表达 biao3da2 "to express; to convey"
标点 biao1dian3 "punctuation; a punctuation mark; to punctuate"
表面 biao3mian4 "surface; face; outside; appearance"
表情 biao3qing2 "(facial) expression; to express one's feelings"
表现 biao3xian4 "to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior"
标志 biao1zhi4 "sign; mark; symbol; logo; to symbolize; to indicate; to mark"
比例 bi3li4 "proportion; scale"
病毒 bing4du2 virus
冰激凌 bing1ji1ling2
玻璃 bo1li5 "glass; (slang) male homosexual"
博物馆 bo2wu4guan3 museum
脖子 bo2zi5 neck
布 bu4 "to announce; to spread; cloth; to declare; to announce; to spread; to make known"
部门 bu4men2 "department; branch; section; division"
步骤 bu4zhou4 "procedure; step"
财产 cai2chan3 "property; assets; estate"
采访 cai3fang3 "to interview; to gather news; to hunt for and collect; to cover"
彩虹 cai3hong2 rainbow
操场 cao1chang3 "playground; sports field; drill ground"
测验 ce4yan4 "test; to test"
差距 cha1ju4 "disparity; gap"
常识 chang2shi2 "common sense; general knowledge"
产品 chan3pin3 "goods; merchandise; product"
叉子 cha1zi5 fork
车库 che1ku4 garage
程度 cheng2du4 "degree; level; extent"
成分 cheng2fen4 "composition; ingredient; element; component; one's social status"
成果 cheng2guo3 "result; achievement; gain; profit"
称呼 cheng1hu5 "to call; to address as; form of address; appellation"
成就 cheng2jiu4 "accomplishment; success; achievement; to achieve (a result); to create; to bring about"
成人 cheng2ren2 adult
程序 cheng2xu4 "procedures; sequence; order; computer program"
成语 cheng2yu3 "chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage"
成长 cheng2zhang3 "to mature; to grow; growth"
车厢 che1xiang1 carriage
翅膀 chi4bang3 wing
池塘 chi2tang2 "pool; pond"
尺子 chi3zi5 "ruler (measuring instrument)"
充电器 chong1dian4qi4
宠物 chong3wu4 "house pet"
抽屉 chou1ti5 drawer
窗帘 chuang1lian2 "window curtains"
传说 chuan2shuo1 "legend; folk tale; to repeat from mouth to mouth; they say that..."
传统 chuan2tong3 "tradition; traditional; convention; conventional"
出口 chu1kou3 "an exit; to speak; to export; (of a ship) to leave port"
除夕 Chu2xi1
词汇 ci2hui4 "vocabulary; list of words (e.g. for language teaching purposes); word"
从前 cong2qian2 "previously; formerly; once upon a time"
醋 cu4 "vinegar; jealousy (in love rivalry)"
措施 cuo4shi1 "measure; step"
代表 dai4biao3 "representative; delegate; to represent; to stand for; on behalf of; in the name of"
贷款 dai4kuan3 "a loan; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank)"
待遇 dai4yu4 "treatment; pay; salary; status; rank"
当地 dang1di4 local
单位 dan1wei4 "unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the prc prior to economic reform)"
胆小鬼 dan3xiao3gui3
单元 dan1yuan2 "unit (forming an entity); element; (in a residential building) entrance or staircase"
道德 dao4de2 "virtue; morality; ethics"
道理 dao4li3
导演 dao3yan3 "to direct; director (film etc)"
岛屿 dao3yu3 island
大厦 da4sha4
大象 da4xiang4 elephant
电池 dian4chi2 battery
电台 dian4tai2 "transmitter-receiver; broadcasting station; radio station"
点心 dian3xin5 "light refreshments; pastry; dim sum (in cantonese cooking); dessert"
地理 di4li3 geography
顶 ding3 "apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); classifier for headwear, hats, veils etc"
地区 di4qu1 "local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)"
敌人 di2ren2 enemy
地毯 di4tan3 "carpet; rug"
地位 di4wei4 "position; status; place"
地震 di4zhen4 earthquake
洞 dong4 "cave; hole; zero (unambiguous spoken form when spelling out numbers)"
动画片 dong4hua4pian4
豆腐 dou4fu5 "tofu; bean curd"
对方 dui4fang1 "the other person; the other side; the other party"
对手 dui4shou3 "opponent; rival; competitor; (well-matched) adversary; match"
对象 dui4xiang4 "target; object; partner; boyfriend; girlfriend"
耳环 er3huan2 earring
罚款 fa2kuan3 "to fine; penalty; fine (monetary)"
发明 fa1ming2 "to invent; an invention"
方案 fang1an4 "plan; program (for action etc); proposal; proposed bill"
方式 fang1shi4 "way; manner; style; mode; pattern"
范围 fan4wei2 "range; scope; limit; extent"
反应 fan3ying4 "to react; to respond; reaction; response; reply; chemical reaction"
反映 fan3ying4 "to mirror; to reflect; mirror image; reflection; (fig.) to report; to make known; to render"
发票 fa1piao4 "invoice; receipt or bill for purchase"
发言 fa1yan2 "to make a speech; statement; utterance"
法院 fa3yuan4 "court of law; court"
废话 fei4hua4 "nonsense; rubbish; superfluous words"
肥皂 fei2zao4 soap
奋斗 fen4dou4 "to strive; to struggle"
风格 feng1ge2 style
风景 feng1jing3 "scenery; landscape"
风俗 feng1su2 "social custom"
风险 feng1xian3 "risk; hazard"
分析 fen1xi1 "to analyze; analysis"
辅导 fu3dao3 "to give guidance; to mentor; to counsel; to coach; to tutor"
妇女 fu4nü3
服装 fu2zhuang1 "dress; clothing; costume; clothes"
改革 gai3ge2 "reform; to reform"
概念 gai4nian4 "concept; idea"
钢铁 gang1tie3 steel
感受 gan3shou4 "to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience"
感想 gan3xiang3 "impressions; reflections; thoughts"
隔壁 ge2bi4 "next door; neighbor"
根 gen1 "root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; radical (chemistry)"
个人 ge4ren2 "individual; personal; oneself"
个性 ge4xing4 "individuality; personality"
工厂 gong1chang3 factory
工程 gong1cheng2 "engineering; an engineering project; project; undertaking"
工具 gong1ju4 "tool; instrument; utensil; means (to achieve a goal etc)"
功能 gong1neng2 "function; capability"
工人 gong1ren2 worker
贡献 gong4xian4 "to contribute; to dedicate; to devote; contribution"
工业 gong1ye4 industry
公寓 gong1yu4 "apartment building; block of flats"
公元 gong1yuan2 "ce (common era); christian era; ad (anno domini)"
公主 gong1zhu3 princess
拐弯 guai3wan1 "to go round a curve; to turn a corner; fig. a new direction"
官 guan1 "government official; governmental; official; public; organ of the body"
观察 guan1cha2 "to observe; to watch; to survey"
观点 guan1dian3 "point of view; viewpoint; standpoint"
广场 guang3chang3 "public square; plaza"
光明 guang1ming2 "light; radiance; (fig.) bright (prospects etc); openhearted"
光盘 guang1pan2 "compact disc (cd); dvd; cd-rom"
冠军 guan4jun1 champion
观念 guan1nian4 "notion; thought; concept; sense; views; ideology; general impressions"
管子 guan3zi5 "tube; pipe; drinking straw"
古代 gu3dai4
姑姑 gu1gu5 "paternal aunt"
规矩 gui1ju5 "lit. compass and set square; fig. established standard; rule; customs; practices; fig. upright and honest; well-behaved"
规律 gui1lü4
规模 gui1mo2 "scale; scope; extent"
柜台 gui4tai2 "sales counter; front desk; bar; (of markets, medicines etc) otc (over-the-counter)"
规则 gui1ze2 "rule; regulation; rules and regulations"
姑娘 gu1niang5 "girl; young woman; young lady; daughter"
锅 guo1 "pot; pan; wok; cauldron; pot-shaped thing"
国庆节 Guo2qing4jie2
果实 guo3shi2 "fruit (produced by a plant); (fig.) fruits (of success etc); results; gains"
国王 guo2wang2 king
股票 gu3piao4 "share certificate; stock (finance)"
骨头 gu3tou5 "bone; moral character; bitterness"
海关 hai3guan1 "customs (i.e. border crossing inspection)"
海鲜 hai3xian1 seafood
行业 hang2ye4 "trade; profession; industry; business"
和平 He2ping2
合同 he2tong5 "(business) contract"
核心 he2xin1 "core; nucleus"
后背 hou4bei4 "the back (human anatomy); the back part of sth"
后果 hou4guo3 "consequences; aftermath"
猴子 hou2zi5 monkey
壶 hu2 "pot; classifier for bottled liquid"
黄金 huang2jin1 "gold; golden (opportunity); prime (time)"
花生 hua1sheng1 "peanut; groundnut"
话题 hua4ti2 "subject (of a talk or conversation); topic"
化学 hua4xue2 "chemistry; chemical"
华裔 hua2yi4 "ethnic chinese; non-chinese citizen of chinese ancestry"
蝴蝶 hu2die2 butterfly
灰 hui1 "ash; dust; lime; gray; discouraged; dejected"
灰尘 hui1chen2 dust
汇率 hui4lü4
婚礼 hun1li3 "wedding ceremony; wedding"
婚姻 hun1yin1 "matrimony; wedding; marriage"
伙伴 huo3ban4 "partner; companion; comrade"
火柴 huo3chai2 "match (for lighting fire)"
胡同 hu2tong4 "lane; alley"
甲 jia3 "(used for an unspecified person or thing); first (in a list, as a party to a contract etc); armor plating; shell or carapace; (of the fingers or toes) nail"
嘉宾 jia1bin1 "esteemed guest; honored guest; guest (on a show)"
肩膀 jian1bang3 shoulder
剪刀 jian3dao1 scissors
酱油 jiang4you2 "soy sauce"
讲座 jiang3zuo4 "a course of lectures"
简历 jian3li4 "curriculum vitae (cv); biographical notes"
键盘 jian4pan2 keyboard
建设 jian4she4 "to build; to construct; to establish; to develop; to institute"
兼职 jian1zhi2 "to hold concurrent posts; concurrent job; moonlighting"
建筑 jian4zhu4 "to construct; building"
教材 jiao4cai2 "teaching material"
角度 jiao3du4 "angle; point of view"
交际 jiao1ji4 "communication; social intercourse"
教练 jiao4lian4 "instructor; sports coach; trainer"
胶水 jiao1shui3 glue
交往 jiao1wang3 "to associate (with); to have contact (with); to hang out (with); to date; (interpersonal) relationship; association; contact"
教训 jiao4xun5 "to provide guidance; to lecture sb; to upbraid; a talking-to; a bitter lesson"
家庭 jia1ting2 "family; household"
家务 jia1wu4 "household duties; housework"
家乡 jia1xiang1 "hometown; native place"
价值 jia4zhi2 "value; worth; fig. values (ethical, cultural etc)"
夹子 jia1zi5 "clip; clamp; tongs; folder; wallet"
接触 jie1chu4 "to touch; to contact; access; in touch with"
阶段 jie1duan4 "stage; section; phase; period"
结构 jie2gou4 "structure; composition; makeup; architecture"
结合 jie2he2 "to combine; to link; to integrate; binding"
借口 jie4kou3 "to use as an excuse; excuse; pretext"
结论 jie2lun4 "conclusion; verdict; to conclude; to reach a verdict"
戒指 jie4zhi5 "(finger) ring"
记录 ji4lu4 "to record; record (written account); note-taker; record (in sports etc)"
纪录 ji4lu4
纪律 ji4lü4
精力 jing1li4 energy
精神 jing1shen2 "spirit; mind; consciousness; thought; mental; psychological; essence; gist"
金属 jin1shu3 metal
机器 ji1qi4 machine
肌肉 ji1rou4 "muscle; flesh"
计算 ji4suan4 "to count; to calculate; to compute"
集体 ji2ti3 "collective (decision); joint (effort); a group; a team; en masse; as a group"
酒吧 jiu3ba1 "bar; pub; saloon"
救护车 jiu4hu4che1
舅舅 jiu4jiu5 "mother's brother; maternal uncle (informal)"
记忆 ji4yi4 "to remember; to recall; memory"
急诊 ji2zhen3 "to give or receive urgent medical treatment; emergency treatment (at a hospital emergency department, or from a doctor on a house call)"
决赛 jue2sai4 "finals (of a competition)"
角色 jue2se4 "role; character in a novel; persona"
决心 jue2xin1 "determination; resolution; determined; firm and resolute; to make up one's mind"
俱乐部 ju4le4bu4
军事 jun1shi4 "military affairs; (attributive) military"
桔子 ju2zi5 tangerine
卡车 ka3che1 truck
开发 kai1fa1 "to exploit (a resource); to open up (for development); to develop"
开幕式 kai1mu4shi4
开水 kai1shui3 "boiled water; boiling water"
课程 ke4cheng2 "course; academic program"
空间 kong1jian1 "space; room; (fig.) scope; leeway; (astronomy) outer space; (physics, math.) space"
控制 kong4zhi4 "to control"
口味 kou3wei4 "a person's preferences; tastes (in food); flavor"
会计 kuai4ji4 "accountant; accountancy; accounting"
昆虫 kun1chong2 insect
辣椒 la4jiao1 "hot pepper; chili"
老百姓 lao3bai3xing4 "ordinary people"
老板 lao3ban3 "robam (brand); boss; business proprietor"
劳动 lao2dong4 "work; toil; physical labor"
姥姥 lao3lao5 "(coll.) mother's mother; maternal grandmother"
老婆 lao3po5
老鼠 lao3shu3 "rat; mouse"
雷 lei2 "thunder; (coll.) to shock; to stun; to astound"
类型 lei4xing2 "type; kind; category; (computer programming) type"
梨 li2 pear
恋爱 lian4ai4 "(romantic) love; in love; to have an affair"
粮食 liang2shi5 "foodstuff; cereals"
列车 lie4che1 "(railway) train"
力量 li4liang5 "power; force; strength"
理论 li3lun4 "theory; to argue; to take notice of"
铃 ling2 "(small) bell"
领导 ling3dao3 "lead; leading; to lead; leadership; leader"
零件 ling2jian4 "part; component"
零食 ling2shi2 "between-meal nibbles; snacks"
领域 ling3yu4 "domain; sphere; field; territory; area"
利润 li4run4 profits
利息 li4xi1 "interest (on a loan)"
利益 li4yi4 "benefit; (in sb's) interest"
理由 li3you2 "reason; grounds; justification"
龙 long2 "dragon; imperial"
陆地 lu4di4 "dry land (as opposed to the sea)"
论文 lun4wen2 "paper; treatise; thesis"
逻辑 luo2ji5
录音 lu4yin1 "to record (sound); sound recording"
麦克风 mai4ke4feng1
馒头 man2tou5 "steamed roll; steamed bun; steamed bread"
毛病 mao2bing4 "fault; defect; shortcomings; ailment"
矛盾 mao2dun4 "contradiction; conflicting views; contradictory"
冒险 mao4xian3 "to take risks; to take chances; foray; adventure"
贸易 mao4yi4 "(commercial) trade"
魅力 mei4li4 "charm; fascination; glamor; charisma"
眉毛 mei2mao5 eyebrow
美术 mei3shu4 "art; fine arts; painting"
煤炭 mei2tan4 coal
媒体 mei2ti3 "media, esp. news media"
梦想 meng4xiang3 "(fig.) to dream of; dream"
面积 mian4ji1 "area (of a floor, piece of land etc); surface area; tract of land"
蜜蜂 mi4feng1 "bee; honeybee"
秘密 mi4mi4 "secret; private; confidential; clandestine"
命令 ming4ling4 "order; command"
名牌 ming2pai2 "famous brand; nameplate; name tag"
名片 ming2pian4 "(business) card"
名胜古迹 ming2sheng4gu3ji4
明星 ming2xing1 "star; celebrity"
命运 ming4yun4 "fate; destiny"
秘书 mi4shu1 secretary
模特 mo2te4
摩托 mo2tuo1 motorbike
目标 mu4biao1 "target; goal; objective"
目录 mu4lu4 "catalog; table of contents; directory (on computer hard drive); list; contents"
目前 mu4qian2 "at the present time; currently"
木头 mu4tou5 "slow-witted; blockhead; log (of wood, timber etc)"
脑袋 nao3dai4
内部 nei4bu4 "interior; inside (part, section); internal"
内科 nei4ke1 "internal medicine; general medicine"
能源 neng2yuan2 "energy; power source"
年代 nian2dai4 "a decade of a century (e.g. the sixties); age; era; period"
年纪 nian2ji4 age
牛仔裤 niu2zai3ku4
农村 nong2cun1 "rural area; village"
农民 nong2min2 "peasant; farmer"
农业 nong2ye4 "agriculture; farming"
女士 nü3shi4
欧洲 Ou1zhou1
派 pai4 "clique; school; group; faction; to dispatch; to send; to assign; to appoint"
赔偿 pei2chang2 "to compensate"
配合 pei4he2 "matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concert with; to cooperate; to become man and wife; to combine parts of machine"
培训 pei2xun4 "to cultivate; to train; to groom; training"
培养 pei2yang3 "to cultivate; to breed; to foster; to nurture; to educate; to groom (for a position); education; fostering; culture (biology)"
盆 pen2 "basin; flower pot"
疲劳 pi2lao2 "fatigue; wearily; weariness; weary"
频道 pin2dao4 "frequency; (television) channel"
平等 ping2deng3 "equal; equality"
平方 ping2fang1 "square (as in square foot, square mile, square root)"
平衡 ping2heng2 "balance; equilibrium"
评价 ping2jia4 "to evaluate; to assess"
拼音 pin1yin1 "phonetic writing; pinyin (chinese romanization)"
墙 qiang2 wall
枪 qiang1 "gun; firearm; rifle; spear; thing with shape or function similar to a gun; to substitute for another person in a test; to knock; classifier for rifle shots; rifle; spear"
前途 qian2tu2 "prospects; future outlook; journey"
启发 qi3fa1 "to enlighten; to explain (a text etc); to stimulate (a mental attitude); enlightenment; revelation; motivation"
气氛 qi4fen1 "atmosphere; mood"
奇迹 qi2ji4 "miracle; miraculous; wonder; marvel"
期间 qi1jian1 "period of time; time; time period; period"
青春 qing1chun1 "youth; youthfulness"
情景 qing2jing3 "scene; spectacle; circumstances; situation"
请求 qing3qiu2 "to request; to ask"
青少年 qing1shao4nian2
情绪 qing2xu4 "mood; state of mind; moodiness"
球迷 qiu2mi2 "fan (ball sports)"
企业 qi3ye4 "company; firm; enterprise; corporation"
汽油 qi4you2 gasoline
圈 quan1 "circle; ring; classifier for loops, orbits, laps of race etc; to surround; to circle"
权力 quan2li4 "power; authority"
权利 quan2li4 "right (i.e. an entitlement to sth)"
趋势 qu1shi4 "trend; tendency"
人才 ren2cai2 "talent; talented person; looks; attractive looks"
人口 ren2kou3 "population; people"
人类 ren2lei4 "humanity; human race; mankind"
人民币 ren2min2bi4 "renminbi (rmb); chinese yuan (cny)"
人生 ren2sheng1 "life (one's time on earth)"
人事 ren2shi4 "personnel; human resources; human affairs; ways of the world; (euphemism) sexuality; the facts of life"
人物 ren2wu4 "person; personage; figure (esp. sb of importance); character (in a play, novel etc); figure painting (as a genre of traditional chinese painting)"
人员 ren2yuan2 "staff; crew; personnel"
日常 ri4chang2 "day-to-day; daily; everyday"
日程 ri4cheng2 "schedule; itinerary"
日历 ri4li4 calendar
日期 ri4qi1 date
日用品 ri4yong4pin3
日子 ri4zi5 "day; a (calendar) date; days of one's life"
软件 ruan3jian4 "(computer) software"
如今 ru2jin1 "nowadays; now"
嗓子 sang3zi5 "throat; voice"
色彩 se4cai3 "tint; coloring; coloration; (fig.) flavor; character"
沙漠 sha1mo4 desert
闪电 shan3dian4 lightning
伤害 shang1hai4 "to injure; to harm"
商品 shang1pin3 "commodity; goods; merchandise"
商务 shang1wu4 "commercial affairs; commercial; commerce; business"
商业 shang1ye4 "business; trade; commerce"
扇子 shan4zi5 fan
沙滩 sha1tan1 "beach; sandy shore"
蛇 she2 "snake; serpent"
设备 she4bei4 "equipment; facilities; installations"
设计 she4ji4 "to design; to plan; design; plan"
身材 shen1cai2 "stature; build (height and weight); figure"
身份 shen1fen4 "identity; role; status (social, legal etc); position; rank"
声调 sheng1diao4 "tone; note; a tone (on a chinese syllable)"
胜利 sheng4li4 victory
绳子 sheng2zi5 "cord; string; rope"
神话 shen2hua4 "legend; fairy tale; myth; mythology"
设施 she4shi1 "facilities; installation"
时差 shi2cha1 "time difference; time lag; jet lag"
市场 shi4chang3 "marketplace; market (also in abstract)"
时代 shi2dai4 "time, us weekly news magazine; age; era; epoch; period (in one's life)"
诗歌 shi1ge1 poem
实话 shi2hua4 truth
实践 shi2jian4 "practice; to put into practice; to live up to (a promise); to carry out (a project)"
试卷 shi4juan4 "examination paper; test paper"
时刻 shi2ke4 "time; juncture; moment; period of time; constantly; always"
时期 shi2qi1 "period; phase"
事实 shi4shi2 fact
石头 shi2tou5 stone
食物 shi2wu4 food
事物 shi4wu4 "thing; object"
实习 shi2xi2 "to practice; field work; to intern; internship"
实验 shi2yan4 "experiment; test; experimental; to experiment"
狮子 shi1zi5 lion
手工 shou3gong1 "handwork; manual"
收获 shou1huo4 "to harvest; to reap; to gain; crop; harvest; profit; gain; bonus; reward"
收据 shou1ju4 receipt
寿命 shou4ming4 "life span; life expectancy; lifetime (of a machine)"
受伤 shou4shang1 "to sustain injuries; wounded (in an accident etc); harmed"
手术 shou3shu4 "(surgical) operation; surgery"
手套 shou3tao4 "glove; mitten"
手续 shou3xu4 "procedure; formalities"
手指 shou3zhi3 finger
双方 shuang1fang1 "bilateral; both sides; both parties involved"
鼠标 shu3biao1 "mouse (computing)"
蔬菜 shu1cai4 vegetables
税 shui4 "taxes; duties"
书架 shu1jia4 bookshelf
数据 shu4ju4 data
数码 shu4ma3 "number; numerals; figures; digital; amount; numerical code"
梳子 shu1zi5 comb
丝绸 si1chou2 "silk cloth; silk"
思想 si1xiang3 "thought; thinking; idea; ideology"
损失 sun3shi1 "loss; damage; to lose; to suffer damage"
锁 suo3 "to lock; to lock up"
宿舍 su4she4 "dormitory; dorm room; living quarters; hostel"
太极 tai4ji2 "the absolute or supreme ultimate, the source of all things according to some interpretations of chinese mythology"
台阶 tai2jie1 "steps; flight of steps; step (over obstacle); fig. way out of an embarrassing situation; bench (geology)"
太太 tai4tai5 "married woman; mrs.; madam; wife"
桃 tao2 peach
特色 te4se4 "characteristic; distinguishing feature or quality"
特征 te4zheng1 "characteristic; diagnostic property; distinctive feature; trait"
天空 tian1kong1 sky
挑战 tiao3zhan4 "to challenge; challenge"
调整 tiao2zheng3 "to adjust; adjustment; revision"
提纲 ti2gang1 "outline; synopsis; notes"
体会 ti3hui4 "to know from experience; to learn through experience; to realize; understanding; experience"
题目 ti2mu4 "subject; title; topic"
体验 ti3yan4 "to experience for oneself"
投资 tou2zi1 "investment; to invest"
土地 tu3di4 "land; soil; territory"
土豆 tu3dou4
推荐 tui1jian4 "to recommend; recommendation"
兔子 tu4zi5 "hare; rabbit"
外公 wai4gong1 "(coll.) mother's father; maternal grandfather"
外交 wai4jiao1 "diplomacy; diplomatic; foreign affairs"
网络 wang3luo4 "internet; network (computing, telecommunications, transport etc)"
王子 wang2zi3 "prince; son of a king"
玩具 wan2ju4 "plaything; toy"
完美 wan2mei3 perfect
胃 wei4 stomach
尾巴 wei3ba5 tail
围巾 wei2jin1 "scarf; shawl"
胃口 wei4kou3 "appetite; liking"
未来 wei4lai2 "future; tomorrow; approaching; coming; pending"
微笑 wei1xiao4 "smile; to smile"
威胁 wei1xie2 "to threaten; to menace"
维修 wei2xiu1 "maintenance (of equipment); to protect and maintain"
位置 wei4zhi5 "position; place; seat"
吻 wen3 "kiss; to kiss; mouth"
问候 wen4hou4 "to give one's respects; to send a greeting; (fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)"
文件 wen2jian4 "document; file"
文具 wen2ju4 "stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)"
文明 wen2ming2 "civilized; civilization; culture"
文学 wen2xue2 literature
文字 wen2zi4 "character; script; writing; written language; writing style; phraseology"
卧室 wo4shi4 bedroom
雾 wu4 "fog; mist"
物理 wu4li3 "physics; physical"
武术 wu3shu4 "military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); self-defense; tradition of choreographed fights from opera and film (recent usage)"
物质 wu4zhi4 "matter; substance; material; materialistic"
屋子 wu1zi5 "house; room"
夏令营 xia4ling4ying2
县 xian4 county
现代 xian4dai4 "modern times; modern age; modern era"
香肠 xiang1chang2 sausage
项链 xiang4lian4 necklace
项目 xiang4mu4 "item; project; (sports) event"
象棋 xiang4qi2 "chinese chess"
相似 xiang1si4 "similar; alike"
象征 xiang4zheng1 "emblem; symbol; token; badge; to symbolize; to signify; to stand for"
现象 xian4xiang4 "phenomenon; appearance"
限制 xian4zhi4 "to restrict; to limit; to confine; restriction; limit"
消费 xiao1fei4 "to consume; to spend"
效率 xiao4lü4
小麦 xiao3mai4 wheat
销售 xiao1shou4 "to sell; to market; sales (representative, agreement etc)"
写作 xie3zuo4 "to write; to compose; writing; written works"
细节 xi4jie2 "details; particulars"
戏剧 xi4ju4 "a drama; a play; theater; script of a play"
行动 xing2dong4 "operation; action; to move about; mobile"
行人 xing2ren2 "pedestrian; traveler on foot; passer-by; official responsible for arranging audiences with the emperor"
形式 xing2shi4 "outer appearance; form; shape; formality"
形势 xing2shi4 "circumstances; situation; terrain"
行为 xing2wei2 "action; conduct; behavior; activity"
形象 xing2xiang4 "image; form; figure; visualization; vivid"
性质 xing4zhi4 "nature; characteristic"
形状 xing2zhuang4 "form; shape"
信号 xin4hao4 signal
心理 xin1li3 "psychology; mentality"
信任 xin4ren4 "to trust; to have confidence in"
心脏 xin1zang4 heart
胸 xiong1 "chest; bosom; heart; mind; thorax"
兄弟 xiong1di4 "brothers; younger brother; i, me (humble term used by men in public speech); brotherly; fraternal"
系统 xi4tong3 system
休闲 xiu1xian2 "leisure; relaxation; not working; idle; to enjoy leisure; to lie fallow"
血 xue4 blood
学历 xue2li4 "educational background; academic qualifications"
学术 xue2shu4 "learning; science; academic"
学问 xue2wen4 "learning; knowledge"
牙齿 ya2chi3 "tooth; dental"
押金 ya1jin1 "deposit; down payment"
样式 yang4shi4 "type; style"
阳台 yang2tai2 "balcony; porch"
宴会 yan4hui4 "banquet; feast; dinner party"
演讲 yan3jiang3 "lecture; to make a speech"
腰 yao1 "waist; lower back; pocket; middle; loins"
夜 ye4 night
业务 ye4wu4 "business; professional work; service"
乙 yi3 "second in order; ethyl; bent; winding; radical in chinese characters (kangxi radical 5)"
一辈子 yi1bei4zi5 "(for) a lifetime"
遗憾 yi2han4 "regret; to regret; to be sorry that"
议论 yi4lun4 "to comment; to talk about; to discuss; discussion"
移民 yi2min2 "to immigrate; to migrate; emigrant; immigrant"
银 yin2 "silver; silver-colored; relating to money or currency"
硬件 ying4jian4 hardware
英雄 ying1xiong2 hero
营养 ying2yang3 "nutrition; nourishment"
影子 ying3zi5 "shadow; reflection; (fig.) hint; indication; influence"
因素 yin1su4 "element; factor"
意外 yi4wai4 "unexpected; accident; mishap"
疑问 yi2wen4 "question; interrogation; doubt"
义务 yi4wu4 "duty; obligation; volunteer (work etc)"
意义 yi4yi4 "sense; meaning; significance; importance"
拥抱 yong1bao4 "to embrace; to hug"
勇气 yong3qi4 "courage; valor"
用途 yong4tu2 "use; application"
幼儿园 you4er2yuan2 "kindergarten; nursery school"
优惠 you1hui4 "privilege; favorable (terms); preferential (treatment); discount (price)"
优势 you1shi4 "superiority; dominance; advantage"
元旦 Yuan2dan4
员工 yuan2gong1 "staff; personnel; employee"
原料 yuan2liao4 "raw material"
愿望 yuan4wang4 "desire; wish"
原则 yuan2ze2 "principle; doctrine"
预报 yu4bao4 forecast
乐器 yue4qi4 "musical instrument"
娱乐 yu2le4 "to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy"
玉米 yu4mi3 "corn; maize"
运气 yun4qi5 "luck (good or bad)"
运输 yun4shu1 "to transport; to carry; transportation"
语气 yu3qi4 "tone; manner of speaking; mood"
灾害 zai1hai4 "calamity; disaster"
长辈 zhang3bei4 "one's elders; older generation"
账户 zhang4hu4 "bank account; online account"
展览 zhan3lan3 "to put on display; to exhibit; exhibition; show"
战争 zhan4zheng1 "war; conflict"
诊断 zhen3duan4 "diagnosis; to diagnose"
政府 zheng4fu3 government
证件 zheng4jian4 "certificate; papers; credentials; document; id"
证据 zheng4ju4 "evidence; proof; testimony"
争论 zheng1lun4 "to argue; to debate; to contend; argument; contention; controversy; debate"
整体 zheng3ti3 "whole entity; entire body; synthesis; as a whole (situation, construction, team etc); global; macrocosm; integral; holistic; whole"
政治 zheng4zhi4 "politics; political"
哲学 zhe2xue2 philosophy
指导 zhi3dao3 "to guide; to give directions; to direct; to coach; guidance; tuition"
制度 zhi4du4 "system (e.g. political, adminstrative etc); institution"
智慧 zhi4hui4 "wisdom; knowledge; intelligent; intelligence"
治疗 zhi4liao2 "to treat (an illness); medical treatment; therapy"
支票 zhi1piao4 "check (bank); cheque"
秩序 zhi4xu4 "order (orderly); order (sequence); social order; the state (of society)"
志愿者 zhi4yuan4zhe3
执照 zhi2zhao4 "license; permit"
中介 zhong1jie4 "to act as intermediary; to link; intermediate; inter-; agency; agent"
种类 zhong3lei4 "kind; genus; type; category; variety; species; sort; class"
重量 zhong4liang4 weight
中心 zhong1xin1 "center; heart; core"
中旬 zhong1xun2 "middle third of a month"
猪 zhu1 "hog; pig; swine"
状况 zhuang4kuang4 "condition; state; situation"
装饰 zhuang1shi4 "to decorate; decoration; decorative; ornamental"
状态 zhuang4tai4 "condition; state; state of affairs"
专家 zhuan1jia1 "expert; specialist"
祝福 zhu4fu2 "blessings; to wish sb well"
主人 zhu3ren2 "master; host; owner"
主任 zhu3ren4 "director; head"
主题 zhu3ti2 "theme; subject"
主席 zhu3xi2 "chairperson; premier; chairman"
竹子 zhu2zi5 bamboo
紫 zi3 "purple; violet"
资格 zi1ge2 "qualifications; seniority"
资金 zi1jin1 "funds; capital"
资料 zi1liao4 "material; resources; data; information; profile (internet)"
