匕 bi3 "dagger; ladle"
礁 jiao1 "reef; shoal rock"
磷 lin2 "phosphorus (chemistry)"
霞 xia2 "rose-tinted sky or clouds at sunrise or sunset"
瞭 liao4 "to watch from a height or distance"
舜 shun4 "shun (c. 23rd century bc), mythical sage and leader"
瞬 shun4 "to wink"
瞳 tong2 "pupil of the eye"
瞩 zhu3 "to gaze at; to stare at"
曙 shu3 "daybreak; dawn; the dawn of a new epoch (metaphor)"
蹋 ta4 "to step on"
蹈 dao3 "to tread on; to trample; to stamp; to fulfill"
螺 luo2 "spiral shell; snail; conch"
嚎 hao2 "howl; bawl"
赡 shan4 "to support; to provide for"
穗 sui4 "ear of grain; fringe; tassel"
魏 wei4 "name of vassal state of zhou dynasty from 661 bc in shanxi, one of the seven hero warring states; wei prefecture and wei county at different historical periods"
簧 huang2 "metallic reed; spring of lock"
簇 cu4 "crowded; framework for silkworms; gather foliage; bunch; classifier for bunched objects"
繁 fan2 "complicated; many; in great numbers"
徽 hui1 "badge; emblem; insignia; crest; logo; coat of arms"
爵 jue2 nobility
朦 meng2 "indistinct; unclear; to deceive"
臊 sao4 "shame; bashfulness; to shame; to humiliate"
臊 sao1 "smell of urine"
辫 bian4 "a braid or queue; to plait"
糠 kang1 "husk; (of a radish etc) spongy (and therefore unappetising)"
燥 zao4 "dry; parched; impatient"
懦 nuo4 "imbecile; timid"
豁 huo4 "open; clear; liberal-minded; generous; to exempt; to remit"
豁 hua2 "to play chinese finger-guessing game"
豁 huo1 "opening; stake all; sacrifice; crack; slit"
骤 zhou4 "sudden; unexpected; abrupt; suddenly"
耦 ou3 "a pair; a mate; a couple; to couple; plowshare"
藕 ou3 "root of lotus"
鞭 bian1 "whip or lash; to flog; to whip; conductor's baton; penis (of animal, served as food)"
滕 teng2 "vassal state of zhou in shandong; teng county in shandong"
瞻 zhan1 "to gaze; to view"
嚣 xiao1 clamor
镰 lian2 "scythe; sickle"
鳍 qi2 fin
瀑 bao4 "shower (rain)"
瀑 pu4 waterfall
襟 jin1 "lapel; overlap of chinese gown; fig. bosom (the seat of emotions); to cherish (ambition, desires, honorable intentions etc) in one's bosom"
璧 bi4 "jade annulus"
翟 di2 "long-tail pheasant"
孽 nie4 "son born of a concubine; disaster; sin; evil"
蘑 mo2 mushroom
藻 zao3 "aquatic grasses; elegant"
樊 fan2 "cage; fence"
攀 pan1 "to climb (by pulling oneself up); to implicate; to claim connections of higher status"
曝 pu4 "to air; to sun"
巅 dian1 summit
簸 bo3 "to winnow; to toss up and down"
颤 chan4 "to tremble; to shiver; to shake; to vibrate"
靡 mi2 "to waste (money)"
靡 mi3 "extravagant; go with fashion; not"
癣 xuan3 ringworm
瓣 ban4 "petal; segment; clove (of garlic); piece; section; fragment; valve; lamella; classifier for pieces, segments etc"
羹 geng1 soup
鳖 bie1 "freshwater soft-shelled turtle"
疆 jiang1 "border; boundary"
鬓 bin4 "temples; hair on the temples"
襄 xiang1 "to help; to assist; mutual assistance; to rush into or up; to raise or hold up; high; tall"
壤 rang3 "soil; earth"
馨 xin1 fragrant
耀 yao4 "brilliant; glorious"
躁 zao4 "impatient; hot-tempered"
蠕 ru2 "to squirm; to wiggle; to wriggle"
巍 wei1 "lofty; towering"
籍 ji2 "book or record; registry; roll; place of one's family or ancestral records; membership"
鳞 lin2 "scales (of fish)"
糯 nuo4 "glutinous rice; sticky rice"
譬 pi4 "to give an example"
霹 pi1 "clap of thunder"
蔺 lin4 "juncus effusus"
黯 an4 "(bound form) dark; dull (color); dim; gloomy"
髓 sui3 "marrow; essence; quintessence; pith (soft interior of plant stem)"
镶 xiang1 "to inlay; to embed; ridge; border"
瓤 rang2 "pulp (of fruit); sth inside a covering; bad; weak"
矗 chu4 "lofty; upright"
孑 jie2 "all alone"
亓 qi2 "his; her; its; their"
丏 mian3 "hidden from view; barrier to ward off arrows"
仄 ze4 "to tilt; narrow; uneasy; oblique tones (in chinese poetry)"
仃 ding1 alone
仂 le4 "surplus; tithe"
刈 yi4 mow
卞 bian4 hurried
闩 shuan1 "bolt; latch; to bolt; to latch"
讣 fu4 "to report a bereavement; obituary"
毋 wu2 "(literary) no; don't; to not have; nobody"
邛 qiong2 "mound; place name"
札 zha2 "a kind of official document (in former times); letter; note; plague"
叵 po3 "not; thereupon"
匜 yi2 "washbasin with a tubular handle"
劢 mai4 "put forth effort"
叱 chi4 "to scold; shout at; to hoot at"
仕 shi4 "to serve as an official; an official"
仟 qian1 "thousand (banker's anti-fraud numeral)"
仡 yi4 "strong; brave"
仞 ren4 (measure)
卮 zhi1 goblet
犰 qiu2 armadillo
邙 mang2 "mt mang at luoyang in henan, with many han, wei and jin dynasty royal tombs"
汀 ting1 "sandbar; shoal; sandbank"
讦 jie2 "to accuse; to pry"
讧 hong4 "strife; disorder; rioting; fighting"
讪 shan4 "to mock; to ridicule; to slander"
讫 qi4 finished
尻 kao1 "(literary) buttocks; rump; coccyx; sacrum"
阡 qian1 "road leading north and south"
弁 bian4 "military officer of low rank (in former times); preceding"
驭 yu4 "to drive; to manage; to control"
玎 ding1 "jingling; tinkling"
玑 ji1 "irregular pearl"
邢 xing2 "place name"
圩 xu1 "country market"
圩 wei2 dike
圬 wu1 "to plaster; whitewash"
扦 qian1 "short slender pointed piece of metal, bamboo etc; skewer; prod used to extract samples from sacks of grain etc; to bolt (a door); to arrange (flowers in a vase); to graft (tree); to pedicure; to peel (an apple etc)"
圪 ge1 (phonetic)
圹 kuang4 tomb
扪 men2 "lay hands on; to cover"
圮 pi3 "destroyed; injure"
圯 yi2 "bridge, bank"
芊 qian1 "green; luxuriant growth"
芍 shao2 "chinese peony; paeonia albiflora or lactiflora"
芄 wan2 "metaplexis stauntoni"
芨 ji2 "bletilla hyacinthina (mucilaginous)"
芑 qi3 "panicum miliaceum"
芗 xiang1 "aromatic herb used for seasoning"
夼 kuang3 "low ground; hollow; depression (used in shandong place names)"
尥 liao4 "to give a backward kick (e.g. of a horse)"
乩 ji1 "to divine"
岌 ji2 "lofty peak; perilous"
屺 qi3 "mountain without vegetation; the residence of one's mother"
凼 dang4 "pool; pit; ditch; cesspit"
囡 nan1 "child; daughter"
钇 yi3 "yttrium (chemistry)"
氘 dao1 "deuterium 2h; heavy hydrogen, isotope of hydrogen having 1 neutron in its nucleus, so atomic weight 2"
氖 nai3 "neon (chemistry)"
牝 pin4 "(of a bird, animal or plant) female; keyhole; valley"
伎 ji4 "artistry; talent; skill"
伛 yu3 hunchbacked
佤 wa3 "wa, kawa or va ethnic group of myanmar, south china and southeast asia"
仵 wu3 "equal; well-matched; to violate"
伥 chang1 "(bound form) ghost of sb devoured by a tiger who helps the tiger devour others"
伧 cang1 "low fellow; rustic; rude; rough"
伉 kang4 "spouse; big and tall; strong; robust; upright and outspoken"
伫 zhu4 "to stand for a long time; to wait; to look forward to; to accumulate"
汆 cuan1 "quick-boil; to boil for a short time"
夙 su4 "morning; early; long-held; long-cherished"
刎 wen3 "cut across (throat)"
犷 guang3 "rough; uncouth; boorish"
犸 ma3 mammoth
凫 fu2 "mallard; anas platyrhyncha"
饧 xing2 "maltose syrup; molasses; heavy (eyelids); drowsy-eyed; listless; (of dough, candy etc) to soften; to become soft and sticky"
汕 shan4 "bamboo fish trap"
汔 qi4 near
汐 xi1 "night tides; evening ebbtide"
汲 ji2 "to draw (water)"
汜 si4 "stream which returns after branching"
汊 cha4 "branching stream"
忖 cun3 "to ponder; to speculate; to consider; to guess"
忏 chan4 "(bound form) to feel remorse"
讴 ou1 "to sing; ballad; folk song"
讵 ju4 "how (interj. of surprise)"
祁 qi2 "large; vast"
讷 ne4 "to speak slowly; inarticulate"
厾 du1 "to tap lightly"
阱 jing3 "pitfall; trap"
阮 ruan3 "ruan, a four-stringed chinese lute"
阪 ban3 "slope; hillside"
妁 shuo4 "(literary) matchmaker (on the bride's side)"
牟 mou2 "barley; to moo; to seek or obtain"
纡 yu1 "winding; twisting"
纣 zhou4 "crupper (harness strap running over a horse's hindquarters and under its tail)"
纥 ge1 knot
纥 he2 tassels
纨 wan2 "white; white silk"
玕 gan1 "(inferior gem)"
玙 yu2 "ornamental jade"
抟 tuan2 "to roll up into a ball with one's hands; spiral; circle"
抔 pou2 "take up in both hands"
圻 qi2 "boundary; a border"
坍 tan1 "to collapse"
坞 wu4 "dock; low wall"
抃 bian4 "to applaud"
抉 jue2 "to pick out; to single out"
㧐 song3 "(literary) to stand upright; to shove"
芫 yuan2 "lilac daphne (daphne genkwa), used in chinese herbal medicine"
邯 han2 "name of a district in hebei"
芸 yun2 "common rue (ruta graveolens)"
芾 fu2 "luxuriance of vegetation"
苈 li4 "drabanemerosa hebecarpa"
芷 zhi3 "angelica (type of iris); plant root used in tcm"
芼 mao4 "select; vegetables"
苌 chang2 "plant mentioned in book of songs, uncertainly identified as carambola or star fruit (averrhoa carambola)"
苁 cong1 "boschniakia glabra"
芩 qin2 "phragmites japonica"
芡 qian4 "gorgon plant; fox nut (gorgon euryale or euryale ferox); makhana (hindi)"
芟 shan1 "to cut down; to mow; to eliminate; scythe"
苄 bian4 "benzyl (chemistry)"
苎 zhu4 "boehmeria nivea; chinese grass"
苡 yi3 "common plantain (plantago major)"
杌 wu4 "low stool"
杓 shao2 ladle
杓 biao1 "(literary) handle of a spoon or ladle; (literary) collective name for the three stars that form the handle of the big dipper"
杞 qi3 "qi, a zhou dynasty vassal state; chinese wolfberry shrub (lycium chinense); willow"
杈 cha1 "fork of a tree; pitchfork"
杈 cha4 "branches of a tree; fork of a tree"
忑 te4 nervous
邴 bing3 happy
邳 pi1 "han dynasty county in modern jiangsu"
矶 ji1 "breakwater; jetty"
奁 lian2 "bridal trousseau"
轫 ren4 brake
迓 ya4 "to receive (as a guest)"
邶 bei4 "name of a feudal state"
忐 tan3 nervous
卣 you3 "wine container"
旰 gan4 "sunset; evening"
呒 fu3 "perplexed; astonished"
呓 yi4 "to talk in one's sleep"
呖 li4 "sound of splitting; cracking"
旸 yang2 "rising sun; sunshine"
吡 bi3 "used as phonetic bi- or pi-"
町 ting3 "raised path between fields"
虬 qiu2 "young dragon with horns"
吽 hou3 "roar or howl of an animal; bellow of rage"
吣 qin4 "to vomit (of dogs and cats); to rail against; to talk nonsense"
帏 wei2 "curtain; women's apartment; tent"
岐 qi2 "also used in place names"
岘 xian4 "mt xianshou in hubei; steep hill"
岑 cen2 "small hill"
岚 lan2 "mist; name of a mountain"
囵 lun2 complete
囫 hu2 "whole; in one lump"
钊 zhao1 "to encourage; to cut; to strain"
钋 po1 "polonium (chemistry)"
钌 liao3 "ruthenium (chemistry)"
迕 wu3 "obstinate, perverse"
氙 xian1 "xenon (chemistry)"
氚 chuan1 "tritium 3h; radioactive isotope of hydrogen having 2 neutrons in its nucleus, so atomic weight 3"
牤 mang1 bull
佞 ning4 "to flatter; flattery"
邱 qiu1 mound
佚 yi4 "lost; missing; forsaken; dissolute; (of a woman) beautiful; fault; offense; hermit"
佗 tuo2 "carry on the back"
彷 pang2 irresolute
肟 wo4 "oxime; oximide; -oxil (chemistry)"
邸 di3 "residence of a high-ranking official; lodging-house"
劬 qu2 labor
狁 yun3 "name of a tribe"
鸠 jiu1 "turtledove; (literary) to gather"
饨 tun2 "chinese ravioli"
饩 xi4 "grain ration; sacrificial victim"
饪 ren4 "cooked food; to cook (until ready)"
饫 yu4 "full (as of eating)"
饬 chi4 "(bound form) to put in order; to arrange properly; circumspect; well-behaved; to give (sb) an order"
庑 wu3 "small rooms facing or to the side of the main hall or veranda"
庋 gui3 "(literary) shelf; (literary) to store; to keep; to preserve"
疔 ding1 "boil; carbuncle"
疖 jie1 "pimple; sore; boil"
肓 huang1 "region between heart and diaphragm"
闱 wei2 "door to women's room; gate to palace"
闳 hong2 "big; gate"
羌 qiang1 "qiang ethnic group of northwestern sichuan; muntjac"
炀 yang2 "molten; smelt"
沣 feng1 "rainy; place name in shaanxi"
沅 yuan2 "yuan river in guizhou and hunan"
沔 mian3 "inundation; name of a river"
沤 ou4 "to steep; to macerate"
沤 ou1 "bubble; froth"
沌 dun4 "confused; turbid"
沏 qi1 "to steep (tea)"
沚 zhi3 islet
汩 gu3 "confused; extinguished"
沂 yi2 "yi river, shandong"
汾 fen2 "name of a river"
沨 feng1 "sound of wind"
汴 bian4 "name of a river in henan; henan"
沆 hang4 "a ferry; fog; flowing"
沩 gui1 "name of a river in shanxi"
泐 le4 "to write"
怃 wu3 "(literary) to have tender affection for; (literary) discouraged; disappointed; (literary) startled"
怄 ou4 "to annoy; to irritate; to be annoyed; to sulk"
忡 chong1 "grieved; distressed; sad; uneasy"
忤 wu3 "disobedient; unfilial"
忾 kai4 anger
怅 chang4 "regretful; upset; despairing; depressed"
忻 xin1 happy
忪 zhong1 "restless; agitated"
怆 chuang4 "mournful; sad; grieved; sorry"
忭 bian4 "delighted; pleased"
忸 niu3 "accustomed to; blush; be shy"
诂 gu3 "to comment; to explain"
诃 he1 "to scold"
诅 zu3 "curse; swear (oath)"
诋 di3 "to defame; to slander"
诌 zhou1 "to make up (a story)"
诏 zhao4 "imperial order"
诒 yi2 "to bequeath"
孜 zi1 "hard-working; industrious"
陂 po1 "rugged; uneven"
陂 bei1 "pool; pond; bank of a pond; mountain slope"
陉 xing2 "border the stove; defile; pass"
妍 yan2 beautiful
妩 wu3 "flatter; to please"
妪 yu4 "old woman; to brood over; to protect"
妣 bi3 "deceased mother"
妊 ren4 "pregnant; pregnancy"
妗 jin4 "wife of mother's brother"
妫 gui1 "name of a river"
妤 yu2 "handsome; fair"
邵 shao4 "place name"
劭 shao4 "stimulate to effort"
刭 jing3 "cut the throat"
邰 tai2 "name of a feudal state"
纭 yun2 "confused; numerous"
纰 pi1 "error; carelessness; spoiled silk"
纴 ren4 "to weave; to lay warp for weaving; silk thread for weaving; to stitch; thread"
纶 lun2 "to classify; to twist silk; silk thread"
纾 shu1 "abundant; ample; at ease; relaxed; to free from; to relieve"
玮 wei3 "(reddish jade); precious; rare"
玭 pin2 pearl
玠 jie4 "jade tablet indicating rank"
玢 bin1 "(literary) a kind of jade"
玢 fen1 porphyrites
玥 yue4 "pearl used in sacrifice"
玦 jue2 "penannular jade pendant"
盂 yu2 "basin; wide-mouthed jar or pot"
匦 gui3 "small box"
坩 gan1 crucible
抨 peng1 "attack; impeach"
拤 qia2 "to grip with both hands; to put one's hands on (one's hips)"
坫 dian4 "stand for goblets"
拈 nian1 "to nip; to grasp with the fingers; to fiddle with"
垆 lu2 "clay; shop"
抻 chen1 "to pull; to stretch; to draw sth out"
劼 jie2 "careful; diligent; firm"
拃 zha3 "span (unit of length based on the width of the expanded human hand); to span (measure with one's hand)"
拊 fu3 pat
坼 che4 "to crack; to split; to break; to chap"
坻 di3 "place name"
坻 chi2 "islet; rock in river"
㧟 kuai3 "to carry on the arm; to scoop up"
抿 min3 "to smooth hair with a wet brush; (of a mouth, wing etc) to close lightly; to sip"
坳 ao4 "depression; cavity; hollow"
苷 gan1 "licorice; glycoside"
苤 pie3 "brassica campestris subsp. rapa"
茏 long2 "polygonum posumbu"
苫 shan1 "straw mat; thatch"
苜 mu4 clover
苴 ju1 "(hemp); sack cloth"
苒 ran3 "luxuriant growth; passing (of time)"
苘 qing3 "indian mallow (abutilon theophrasti); indian hemp (cannabis)"
茌 chi2 "name of a district in shandong"
苻 fu2 "angelica anomala"
苓 ling2 "fungus; tuber"
茚 yin4 "indene (chemistry)"
茆 mao2 thatch
茆 mao3 "type of water plant"
茑 niao3 grossulariaceae
茓 xue2 "to store grain by enclosing it in a woven mat rolled into a vertical cylinder"
茔 ying2 "a grave"
茕 qiong2 "alone; desolate"
茀 fu2 "luxuriant growth"
苕 tiao2 "reed grass"
枥 li4 "type of oak; stable (for horses)"
杪 miao3 "the limit; tip of branch"
杳 yao3 "dark and quiet; disappear"
枧 jian3 "bamboo conduit; wooden peg; spout"
杵 chu3 "pestle; to poke"
枨 cheng2 "door post"
枞 cong1 "fir tree"
枋 fang1 "santalum album; square wooden pillar"
杻 niu3 "handcuffs; red apricot"
杻 chou3 handcuffs
杷 ba4 "handle or shaft (of an axe etc); hoe; to harrow"
杼 zhu4 "shuttle of a loom"
矸 gan1 "a rock or cliff"
砀 dang4 "stone with color veins"
刳 ku1 "to cut open; rip up; scoop out"
瓯 ou1 "(pottery) bowl or drinking vessel"
殁 mo4 "to end; to die"
郏 jia2 "name of a district in henan"
轭 e4 "to restrain; to yoke"
郅 zhi4 "extremely; very"
鸢 yuan1 "kite (small hawk)"
盱 xu1 "anxious; stare"
昊 hao4 "vast and limitless; the vast sky"
昙 tan2 "dark clouds"
昃 ze4 "afternoon; decline"
咂 za1 "to sip; to smack one's lips; to taste; to savor"
昕 xin1 dawn
昀 yun2 "sun light"
旻 min2 heaven
昉 fang3 "dawn; to begin"
炅 jiong3 "(literary) bright; shining; brilliance"
虮 ji3 "nymph of louse"
咀 ju3 "to chew; to masticate"
呷 xia1 "suck, swallow, drink"
呱 gu1 "crying sound of child"
咚 dong1 "knock (on the door)"
咆 pao2 "to roar"
咛 ning2 "to enjoin"
呶 nu3 "to pout"
呶 nao2 clamor
呣 m4 "interjection expressing consent; um"
呣 m2 "interjection expressing a question"
咝 si1 "to whistle; to whiz; to fizz"
岿 kui1 "high and mighty (of mountain); hilly"
岬 jia3 "cape (geography); headland"
岫 xiu4 "cave; mountain peak"
帙 zhi4 "book cover; (classifier) ten years"
岣 gou3 "name of a hill in hunan"
峁 mao3 "round yellow dirt mount (in the northwest of china)"
刿 gui4 "cut; injure"
迥 jiong3 distant
岷 min2 "name of a river in sichuan"
帔 pei4 cape
峄 yi4 "name of hills in shandong"
罔 wang3 "to deceive; there is none"
钍 tu3 "thorium (chemistry)"
钎 qian1 "a drill (for boring through rock)"
钏 chuan4 "armlet; bracelet"
钒 fan2 "vanadium (chemistry)"
钕 nü3 "neodymium (chemistry)"
钗 chai1 hairpin
邾 zhu1 "name of a feudal state"
迮 ze2 "haste; to press"
牦 mao2 "yak (bos grunniens)"
迤 yi3 "extending to"
迤 yi2 winding
佶 ji2 "difficult to pronounce"
侑 you4 "(literary) to urge sb (to eat or drink)"
侉 kua3 "foreign accent"
臾 yu2 "a moment; little while"
岱 dai4 "mt tai in shandong"
侗 dong4 "dong ethnic group (aka kam people)"
侗 tong2 ignorant
侃 kan3 "upright and honest; cheerful; to chat idly; to boast; to talk smoothly"
侏 zhu1 dwarf
侩 kuai4 broker
佻 tiao1 "frivolous; unsteady; delay"
侪 chai2 "a class; a company; companion"
佼 jiao3 handsome
佯 yang2 "to feign; to pretend"
侔 mou2 "similar; comparable; equal"
徂 cu2 "to go; to reach"
刽 gui4 "to amputate; to cut off"
怂 song3 "(literary) terrified"
籴 di2 "to buy up (grain)"
瓮 weng4 "earthen jar; urn; pottery container for water, wine etc"
戗 qiang1 "contrary; pushing against; bump; knock"
肼 jing3 hydrazine
肽 tai4 "peptide (two or more amino acids linked by peptide bonds co-nh)"
肱 gong1 "upper arm; arm"
肫 zhun1 gizzard
迩 er3 "recently; near; close"
郇 xun2 "name of a feudal state"
狙 ju1 "macaque; to spy; to lie in ambush"
狎 xia2 "(bound form) (literary) to take liberties with sb or sth; to treat frivolously"
狍 pao2 "siberian roe deer (capreolus pygargus)"
狒 fei4 "hamadryad baboon"
咎 jiu4 "fault; to blame; to punish; calamity; misfortune"
炙 zhi4 "to broil; to roast"
枭 xiao1 "owl; valiant; trafficker"
饯 jian4 "farewell dinner; preserves"
饴 yi2 "maltose syrup"
冽 lie4 "cold and raw"
庖 pao2 kitchen
疠 li4 "ulcer; plague"
疝 shan4 hernia
疡 yang2 "ulcers; sores"
劾 he2 "to impeach"
炜 wei3 "glowing; bright; brilliant"
𬉼 ou3 "copious smoke produced by smoldering firewood; half alight; to use the smoke of burning wormwood etc to repel insects"
𬉼 ou1 "severe drought; exceptionally hot weather"
炘 xin1 "mid-day glare; heat"
炝 qiang4 "to stir-fry then cook with sauce and water; to boil food briefly then dress with soy etc; to choke; to irritate (throat etc)"
炔 que1 alkyne
泔 gan1 "slop from rinsing rice"
沭 shu4 "river in shandong"
泷 long2 "rapids; waterfall; torrential (rain)"
泸 lu2 "old name of a river in jiangxi; place name"
泱 yang1 "agitated (wind, cloud); boundless"
泅 qiu2 "to swim (bound form)"
泗 si4 "river in shandong; nasal mucus"
泠 ling2 "sound of water flowing"
泺 luo4 "name of a river"
泖 mao3 "still water"
泫 xuan4 weep
泮 pan4 "(literary) to melt; to dissolve"
沱 tuo2 "tearful; to branch (of river)"
泯 min3 "(bound form) to vanish; to die out; to obliterate"
泓 hong2 "clear; vast and deep; classifier for a body of clear water"
泾 jing1 "jing river"
怙 hu4 "to rely on; father (formal)"
怵 chu4 "fearful; timid; to fear"
怦 peng1 impulsive
怛 da2 "distressed; alarmed; shocked; grieved"
怏 yang4 discontented
怍 zuo4 ashamed
怩 ni2 "shy; timid; bashful; to look ashamed"
怫 fei4 anger
怫 fu2 anxious
怿 yi4 "pleased; rejoice"
宕 dang4 "dissipated; put off"
穹 qiong2 "vault; dome; the sky"
诓 kuang1 "to mislead; to swindle"
诔 lei3 "to eulogize the dead; eulogy"
诖 gua4 "to deceive; to disturb"
诘 jie2 "to investigate; to restrain; to scold"
戾 li4 "to bend; to violate; to go against; ruthless and tyrannical"
诙 hui1 "whimsical; humorous"
戽 hu4 "water bucket for irrigation"
郓 yun4 "place name"
衩 cha4 "slit on either side of robe"
衩 cha3 "open seam of a garment; shorts; panties"
祆 xian1 "ahura mazda, the creator deity in zoroastrianism"
祎 yi1 "excellent; precious; rare; fine"
祉 zhi3 felicity
祇 qi2 "god of the earth"
诛 zhu1 "to put (a criminal) to death; to punish"
诜 shen1 "to inform; to inquire"
诟 gou4 "disgrace; to revile"
诠 quan2 "to explain; to comment; to annotate"
诣 yi4 "to go (to visit a superior); one's current attainment in learning or art"
诤 zheng4 "to admonish; to warn sb of their errors; to criticize frankly"
诧 cha4 "to be surprised; to be astonished"
诨 hun4 "jest; nickname"
诩 xu3 "to brag; popular; lovely"
孢 bao1 spore
亟 qi4 "repeatedly; frequently"
亟 ji2 urgent
陔 gai1 "step; terrace"
姗 shan1 "to deprecate; lithe (of a woman's walk); leisurely; slow"
帑 tang3 "state treasury; public funds"
弩 nu3 crossbow
孥 nu2 "child; offspring"
驽 nu2 "(literary) inferior horse"
虱 shi1 "louse; louse"
迨 dai4 "until; while"
绀 gan4 "violet or purple"
绁 xie4 "to tie; to bind; to hold on a leash; rope; cord"
绂 fu2 "ribbon for a seal; sash"
驷 si4 "team of 4 horses"
驸 fu4 "prince consort"
绉 zhou4 "crepe; wrinkle"
绌 chu4 "crimson silk; deficiency; to stitch"
驿 yi4 "post horse; relay station"
骀 tai2 "tired; worn out horse"
甾 zai1 "steroid nucleus"
珏 jue2 "gems mounted together"
珐 fa4 "enamel ware; cloisonne ware"
珂 ke1 "jade-like stone"
珑 long2 "tinkling of gem-pendants"
玳 dai4 "tortoise shell; turtle"
顸 han1 dawdling
珉 min2 "alabaster, jade-like stone"
珈 jia1 "gamma; jewelry"
拮 jie2 "antagonistic; laboring hard; pressed"
挝 zhua1 beat
垣 yuan2 wall
挞 ta4 "flog; rapid"
垤 die2 "anthill; mound"
垌 dong4 "field; farm"
垓 gai1 boundary
挦 xian2 "to pull out (esp. hair or feathers); to pick; to pluck; fig. to extract (lines from a text)"
垠 yin2 "limit; border; river bank"
荚 jia2 "pod (botany)"
荑 yi2 "to weed"
荑 ti2 (grass)
贳 shi4 "to borrow; to buy on credit; to rent out"
荜 bi4 "bean; pulse"
莒 ju3 "zhou dynasty vassal state in modern day shandong province"
茼 tong2 "chrysanthemum coronarium"
茴 hui2 "(bound form) fennel"
莛 ting2 "stalk of grass"
荞 qiao2 "common mallow (malva sinensis)"
荏 ren3 "beefsteak plant (perilla frutescens); soft; weak"
荇 xing4 "yellow floating heart (nymphoides peltatum)"
荃 quan2 "(fragrant plant)"
荟 hui4 "to flourish; luxuriant growth"
茗 ming2 "thea sinensis; young leaves of tea"
荠 qi2 "water chestnut"
茭 jiao1 "zizania aquatica"
垩 e4 "to whitewash; to plaster"
荥 xing2 "place name"
荦 luo4 "brindled ox; clear; eminent"
荩 jin4 "arthraxon ciliare; loyal"
剋 kei1 "to scold; to beat"
荪 sun1 "fragrant grass"
茹 ru2 "to eat; (extended meaning) to endure; putrid smell; vegetables; roots (inextricably attached to the plant)"
荮 zhou4 "classifier for a bundle (of bowls, dishes etc) tied with straw"
柰 nai4 "crab-apple; how can one help"
栉 zhi4 "comb; to comb; to weed out; to eliminate"
柘 zhe4 "a thorny tree; sugarcane; cudrania triloba; three-bristle cudrania (cudrania tricuspidata); chinese mulberry (cudrania)"
栊 long2 "bar; cage; gratings"
柩 jiu4 bier
枰 ping2 "chess-like game"
栌 lu2 "capital (of column); smoke tree"
柙 xia2 "cage; pen; scabbard"
枵 xiao1 "empty; hollow of a tree"
柚 you4 "pomelo (citrus maxima or c. grandis); shaddock; oriental grapefruit"
枳 zhi3 "(orange); hedge thorn"
柞 zuo4 "oak; quercus serrata"
柝 tuo4 "watchman's rattle"
栀 zhi1 "gardenia; cape jasmine (gardenia jasminoides)"
柢 di3 "foundation; root"
栎 li4 "oak; quercus serrata"
枸 ju3 "citrus medica"
枸 gou1 "bent; crooked"
枸 gou3 "chinese wolfberry (lycium chinense)"
柈 pan2 plate
柁 tuo2 "main beam of roof"
枷 jia1 "cangue (wooden collar like stocks used to restrain and punish criminals in china)"
柽 cheng1 tamarisk
砘 dun4 "(agriculture) to compact loose soil with a stone roller after sowing seeds; stone roller used for this purpose"
砒 pi1 arsenic
斫 zhuo2 "to chop; to hack; to carve wood; to chop; to carve wood"
砭 bian1 "to criticize; to pierce"
砜 feng1 sulfone
奎 kui2 "crotch; 15th of the 28th constellations of chinese astronomy"
耷 da1 "ears hanging down"
虺 hui3 "mythical venomous snake"
虺 hui1 "sick; with no ambition"
殂 cu2 "to die"
殇 shang1 "to die in childhood; war dead"
殄 tian3 "to exterminate"
殆 dai4 "(literary) dangerous; perilous; (literary) almost; well-nigh"
轱 gu1 "wheel; to roll"
轲 ke1 "given name of mencius"
轳 lu2 windlass
轶 yi4 "to excel; to surpass; to be scattered"
轸 zhen3 "square; strongly (as of emotion)"
虿 chai4 "(scorpion); an insect"
毖 bi4 "careful; to prevent"
觇 chan1 "to observe; to spy on"
尜 ga2 "toy formed of a spindle with two sharp ends"
眄 mian4 "to look askance at"
眄 mian3 "to ogle at; to squint at"
眍 kou1 "to sink in (of eyes)"
𠳐 bang1 "rat-a-tat (knocking on a door etc)"
眊 mao4 "having poor eyesight"
眈 dan1 "gaze intently"
哂 shen3 "(literary) to smile; to sneer"
咴 hui1 "neigh; whinny (sound made by a horse)"
昴 mao3 "the pleiades"
昱 yu4 "bright light"
哓 xiao1 "a cry of alarm; querulous"
畎 quan3 "field drains"
毗 pi2 "to adjoin; to border on"
呲 ci1 "(coll.) to scold; to rebuke"
胄 zhou4 "helmet; descendants"
畋 tian2 "to cultivate (land); to hunt"
畈 fan4 "field; farm"
虼 ge4 flea
虻 meng2 "horsefly; gadfly"
盅 zhong1 "handleless cup; goblet"
咣 guang1 "door banging shut"
哕 yue3 "to puke; to hiccup"
剐 gua3 "cut off the flesh as punishment"
郧 yun2 "name of a feudal state"
囿 you4 "park; to limit; be limited to"
哙 wei4 "(interjection) hey"
哙 kuai4 "throat; to swallow"
咩 mie1 "the bleating of sheep"
哝 nong2 garrulous
哏 gen2 "funny; amusing; sth comical"
哏 hen3 "also used as an exclamation of anger"
哞 mou1 "moo (sound made by cow)"
峙 zhi4 "peak; to store"
峣 yao2 "high; steep; to tower"
罘 fu2 "place name"
帧 zhen1 "frame; classifier for paintings etc"
峒 dong4 "cave; cavern"
峒 tong2 "name of a mountain"
