我,wo3,i; me; my
干果,gan1guo3,dried fruit; dry fruits (nuts etc)
干枯,gan1ku1,withered; dried up
干洗,gan1xi3,to dry clean; dry cleaning
干涸,gan1he2,to dry up
干渴,gan1ke3,parched; dry mouth
干潮,gan1chao2,low tide; low water
干涩,gan1se4,dry and rough (skin); hoarse (voice); dry and heavy (style)
干煸,gan1bian1,to stir-fry with oil only (no addition of water)
干爹,gan1die1,"adoptive father (traditional adoption, i.e. without legal ramifications)"
干爽,gan1shuang3,dry and clean; clear and fresh
干瘦,gan1shou4,wizened; skinny and shriveled
干瘪,gan1bie3,dried out; wizened; shriveled
干癣,gan1xuan3,psoriasis
干笑,gan1xiao4,to give a hollow laugh; to force a smile; forced laugh
干等,gan1deng3,to wait in vain; to sit around waiting
干粉,gan1fen3,dry powder
干粮,gan1liang2,rations (to take on expedition)
干草,gan1cao3,hay
干菜,gan1cai4,dried vegetable
干叶,gan1ye4,dried leaf
干姜,gan1jiang1,dried ginger
干号,gan1hao2,to cry out loud without tears
干衣,gan1yi1,drysuit (diving)
干裂,gan1lie4,"(of dry soil, skin etc) to crack; to chap"
干贝,gan1bei4,conpoy; dried scallop
干货,gan1huo4,"dried food (including dried fruits, mushrooms and seafoods such as shrimp and abalone); (fig.) (coll.) knowledge presented in readily assimilable form"
干透,gan1tou4,to dry out; to dry completely
干酪,gan1lao4,cheese
干饭,gan1fan4,plain cooked rice (as opposed to rice porridge)
干馏,gan1liu2,to carbonize; dry distillation; carbonization
乱世,luan4shi4,the world in chaos; troubled times
乱丢,luan4diu1,to discard in the wrong place (cigarette butts etc); to leave one's things lying around
乱来,luan4lai2,to act recklessly; to mess around
乱伦,luan4lun2,incest; immorality; depravity; fornication
乱动,luan4dong4,to fiddle with; to tamper with; to meddle with; to move randomly; to flail about
乱叫,luan4jiao4,to inconsiderately shout
乱吃,luan4chi1,to eat indiscriminately
乱套,luan4tao4,in a mess; upside down
乱子,luan4zi5,disturbance; trouble
乱写,luan4xie3,to write without basis
乱局,luan4ju2,chaotic situation
乱扔,luan4reng1,to litter; to throw away
乱抓,luan4zhua1,to claw wildly; to scratch frantically; to arrest people indiscriminately
乱掉,luan4diao4,to throw away; to discard
乱搞,luan4gao3,to make a mess; to mess with; to be wild; to sleep around; to jump into bed
乱政,luan4zheng4,to corrupt politics
乱数,luan4shu4,random number
乱民,luan4min2,rebels
乱画,luan4hua4,to doodle; graffito; doodle
乱真,luan4zhen1,to pass off as genuine; spurious
乱石,luan4shi2,rocks; stones; rubble; riprap
乱码,luan4ma3,mojibake (nonsense characters displayed when software fails to render text according to its intended character encoding)
乱窜,luan4cuan4,to flee in disarray; to scatter
乱纪,luan4ji4,to break the rules; to break discipline
乱花,luan4hua1,to spend recklessly; to waste money
乱说,luan4shuo1,to talk drivel; to make irresponsible remarks
乱讲,luan4jiang3,to talk nonsense
乱象,luan4xiang4,chaos; madness
乱跑,luan4pao3,to run around all over the place
乱跳,luan4tiao4,to jump about; (of the heart) to beat wildly
乱麻,luan4ma2,lit. tangled skein; in a tremendous muddle; confused
乱党,luan4dang3,the rebel party
了了,liao3liao3,to realize clearly; to settle a matter; to get it over with
了事,liao3shi4,to dispose of a matter; to be done with it
了债,liao3zhai4,to repay one's debt
了局,liao3ju2,end; conclusion; solution
了得,liao3de5,exceptional; outstanding; dreadful; appalling
了断,liao3duan4,to bring to a conclusion; to settle (a dispute); to do away with (oneself); to break off (a relationship); resolution (of a problem)
了然,liao3ran2,to understand clearly; evident; to understand clearly; evident
了当,liao3dang4,frank; outspoken; ready; settled; in order; to handle
了知,liao3zhi1,to understand completely
事主,shi4zhu3,victim (of a criminal); party involved (in a dispute etc); main instigator
事事,shi4shi4,everything
事例,shi4li4,example; exemplar; typical case
事假,shi4jia4,leave of absence for a personal matter
事儿,shi4r5,one's employment; business; matter that needs to be settled; (northern dialect) (of a person) demanding; trying; troublesome
事典,shi4dian3,encyclopedia
事前,shi4qian2,in advance; before the event
事势,shi4shi4,state of affairs
事奉,shi4feng4,to serve
事机,shi4ji1,confidential aspects of a matter; secrets; key moment for action
事权,shi4quan2,position; authority; responsibility
事理,shi4li3,reason; logic
事由,shi4you2,main content; matter; work; origin of an incident; cause; purpose; subject (of business letter)
事界,shi4jie4,event horizon
事略,shi4lu:e4,biographical sketch
事端,shi4duan1,disturbance; incident
事证,shi4zheng4,evidence
事变,shi4bian4,incident; unforeseen event; events (in general)
事关,shi4guan1,to concern; on (some topic); about; concerning; to have importance for
事体,shi4ti3,things; affairs; decorum
二世,er4shi4,the second (of numbered kings); second generation (e.g. chinese americans)
二代,er4dai4,"secondary; twice in the year (of generations of insects, harvests etc)"
二来,er4lai2,"secondly, ..."
二便,er4bian4,urination and defecation
二侧,er4ce4,two sides
二价,er4jia4,negotiable price; (chemistry) divalent; bivalent
二元,er4yuan2,duality; dual; bipolar; binary
二八,er4ba1,16; sixteen
二分,er4fen1,second part; the equinox
二副,er4fu4,second officer (of ship); second mate
二十,er4shi2,twenty; 20
二哈,er4ha1,(coll.) silly but cute husky (dog)
二哥,er4ge1,second brother
二奶,er4nai3,mistress; second wife; lover
二婚,er4hun1,to marry for the second time; second marriage; second spouse
二宝,er4bao3,second child; second baby
二屄,er4bi1,(slang) idiot; idiotic
二度,er4du4,second degree
二心,er4xin1,disloyalty; half-heartedness; duplicity
二战,er4zhan4,world war ii
二房,er4fang2,second branch of an extended family; concubine
二指,er4zhi3,index finger
二月,er4yue4,february; second month (of the lunar year)
二次,er4ci4,second (i.e. number two); second time; twice; (math.) quadratic (of degree two)
二流,er4liu2,second-rate; second-tier
二甲,er4jia3,2nd rank of candidates who passed the imperial examination (i.e. 4th place and up)
二等,er4deng3,second class; second-rate
二糖,er4tang2,disaccharide
二级,er4ji2,grade 2; second class; category b
二维,er4wei2,two-dimensional
二老,er4lao3,mother and father; parents
二者,er4zhe3,both; both of them; neither
二声,er4sheng1,second tone
二胎,er4tai1,second pregnancy
二胡,er4hu2,erhu (chinese 2-string fiddle); alto fiddle
二号,er4hao4,2nd day of the month
二话,er4hua4,objection; differing opinion
二货,er4huo4,(slang) fool; dunce; foolishly cute person
二轮,er4lun2,second round (of a match or election)
二连,er4lian2,erlian basin in inner mongolia
二进,er4jin4,binary (math.)
二醇,er4chun2,glycol
二重,er4chong2,double; repeated twice
二阶,er4jie1,second order; quadratic (math.)
二黄,er4huang2,one of the two chief types of music in chinese opera; peking opera
于归,yu2gui1,(literary) (of a girl) to marry
云云,yun2yun2,and so on; so and so; many and confused
互利,hu4li4,mutually beneficial
互勉,hu4mian3,to encourage each other
互惠,hu4hui4,mutual benefit; mutually beneficial; reciprocal
互扔,hu4reng1,to throw (sth) at each other
互换,hu4huan4,to exchange
互文,hu4wen2,paired phrases (poetic device)
互斥,hu4chi4,mutually exclusive
互生,hu4sheng1,alternate leaf arrangement (botany)
互异,hu4yi4,differing from one another; mutually different
互粉,hu4fen3,to follow each other's accounts (on weibo etc)
互素,hu4su4,(math.) coprime; relatively prime (having no common factor)
互联,hu4lian2,interconnected
互译,hu4yi4,two-way translation
互让,hu4rang4,to yield to one another; mutual accommodation
互通,hu4tong1,to intercommunicate; to interoperate
互连,hu4lian2,interconnection
五七,wu3qi1,memorial activity 35 days after a person's death
五世,wu3shi4,the fifth (of series of numbered kings)
五五,wu3wu3,"equal (share, partnership etc)"
五伦,wu3lun2,"the five confucian relationships (ruler-subject, father-son, brother-brother, husband-wife, friend-friend)"
五加,wu3jia1,acanthopanax gracilistylus
五十,wu3shi2,fifty
五味,wu3wei4,all kinds of flavors
五官,wu3guan1,facial features
五常,wu3chang2,"the permanent five (the five permanent members of the united nations security council: china, france, russia, the uk, and the usa); five cardinal relationships of confucianism (between ruler and subject, father and son, husband and wife, brothers, friends)"
五度,wu3du4,"five degrees; fifth (basic musical interval, doh to soh)"
五彩,wu3cai3,"five (main) colors (white, black, red, yellow, and blue); multicolored"
五指,wu3zhi3,the five fingers of one's hand
五方,wu3fang1,"the five regions: the east, south, west, north and center; all parts; china and the lands beyond its frontiers"
五月,wu3yue4,may; fifth month (of the lunar year)
五毛,wu3mao2,(fig.) paltry sum of money
五河,wu3he2,"punjab, province of pakistan"
五洲,wu3zhou1,five continents; the world
五环,wu3huan2,five rings; pentacyclic (chemistry)
五瘟,wu3wen1,five chief demons of folklore personifying pestilence
五谷,wu3gu3,"all crops; all grains; oats, peas, beans and barley"
五色,wu3se4,multi-colored; the rainbow; garish
五号,wu3hao4,the fifth; fifth day of a month
五角,wu3jiao3,pentagon
五通,wu3tong1,bottom bracket shell (in a bicycle frame)
五金,wu3jin1,metal hardware (nuts and bolts)
五音,wu3yin1,"five notes of pentatonic scale, roughly do, re, mi, sol, la"
五香,wu3xiang1,"five spice seasoned; incorporating the five basic flavors of chinese cooking (sweet, sour, bitter, savory, salty)"
五鬼,wu3gui3,five chief demons of folklore personifying pestilence
井下,jing3xia4,underground; in the pit (mining)
井井,jing3jing3,orderly; tidy
井口,jing3kou3,entrance to mine
井喷,jing3pen1,(oil) blowout; surge; gush
井然,jing3ran2,"tidy, methodical"
井号,jing3hao4,hash symbol; pound sign
亘古,gen4gu3,throughout time
些微,xie1wei1,slightly
些许,xie1xu3,a few; a little; a bit
亚丁,ya4ding1,aden
亚伯,ya4bo2,"abe (short form for abraham); abel, a figure of jewish, christian and muslim mythologies"
亚们,ya4men5,amon (son of manasseh)
亚伦,ya4lun2,"aaron (name); yaren, capital of nauru"
亚型,ya4xing2,subtype; subcategory
亚太,ya4tai4,asia-pacific
亚庇,ya4bi4,"kota kinabalu (capital of sabah state, malaysia)"
亚撒,ya4sa1,"asa (?-870 bc), third king of judah and fifth king of the house of david (judaism)"
亚东,ya4dong1,"yadong county, tibetan: gro mo rdzong, in shigatse prefecture, tibet"
亚洲,ya4zhou1,asia
亚父,ya4fu4,(term of respect) second only to father; like a father (to me)
亚琛,ya4chen1,"aachen, city in nordrhein-westfalen, germany; aix-la-chapelle"
亚瑟,ya4se4,arthur (name)
亚界,ya4jie4,subkingdom (taxonomy)
亚当,ya4dang1,adam
亚目,ya4mu4,suborder (taxonomy)
亚砷,ya4shen1,arsenous
亚科,ya4ke1,subfamily (taxonomy)
亚种,ya4zhong3,subspecies (taxonomy)
亚纯,ya4chun2,meromorphic (math.)
亚纲,ya4gang1,subclass (taxonomy)
亚兰,ya4lan2,ram (son of hezron)
亚裔,ya4yi4,of asian descent
亚运,ya4yun4,asian games
亚金,ya4jin1,achim (son of zadok in matthew 1:14)
亚铁,ya4tie3,ferrous
亚门,ya4men2,subdivision; subphylum (taxonomy)
亚类,ya4lei4,subtype; subclass
亚麻,ya4ma2,flax
亚齐,ya4qi2,aceh province of indonesia in northwest sumatra; aceh sultanate 16th-19th century
亟需,ji2xu1,to urgently need; urgent need
亡佚,wang2yi4,nonextant; lost to the ages
亡命,wang2ming4,to flee; to go into exile (from prison)
亡国,wang2guo2,(of a nation) to be destroyed; subjugation; vanquished nation
亡故,wang2gu4,to die; to pass away
亡母,wang2mu3,deceased mother
亡者,wang2zhe3,the deceased
亡灵,wang2ling2,departed spirit
亡魂,wang2hun2,soul of the deceased; departed spirit
亢奋,kang4fen4,excited; stimulated
亢旱,kang4han4,severe drought (literary)
亢直,kang4zhi2,upright and unyielding (literary)
亢进,kang4jin4,hyperfunction (medical)
交九,jiao1jiu3,the coldest period of the year; three nine day periods after the winter solstice
交互,jiao1hu4,mutual; interactive; each other; alternately; in turn; interaction
交并,jiao1bing4,occurring simultaneously
交保,jiao1bao3,to post bail; bail
交兵,jiao1bing1,in a state of war
交出,jiao1chu1,to hand over
交割,jiao1ge1,delivery (commerce)
交加,jiao1jia1,to occur at the same time (of two things); to be mingled; to accompany each other
交汇,jiao1hui4,"to flow together; confluence (of rivers, airflow, roads); (international) cooperation; to flow together; confluence (of rivers, airflow, roads); (international) cooperation"
交卷,jiao1juan4,to hand in one's examination script
交卸,jiao1xie4,to hand over to a successor; to relinquish one's office
交友,jiao1you3,to make friends
交合,jiao1he2,to join; to meet; to copulate; sexual intercourse
交售,jiao1shou4,(of a farmer) to sell one's produce to the state as stipulated by government policy
交困,jiao1kun4,beset with difficulties
交大,jiao1da4,jiaotong university; university of communications
交契,jiao1qi4,friendship
交媾,jiao1gou4,to have sex; to copulate
交尾,jiao1wei3,to copulate (of animals); to mate
交差,jiao1chai1,to report back after completion of one's mission
交帐,jiao1zhang4,to settle accounts
交底,jiao1di3,to fill sb in (on the details of sth); to put all one's cards on the table
交恶,jiao1e4,to become enemies; to become hostile towards
交战,jiao1zhan4,to fight; to wage war
交手,jiao1shou3,to fight hand to hand
交托,jiao1tuo1,to entrust
交拜,jiao1bai4,to bow to one another; to kneel and kowtow to one another; formal kowtow as part of traditional wedding ceremony
交会,jiao1hui4,to encounter; to rendezvous; to converge; to meet (a payment)
交椅,jiao1yi3,"old-style wooden folding armchair, typically featuring a footrest; (fig.) position in a hierarchy"
交欢,jiao1huan1,to have cordial relations with each other; to have sexual intercourse
交火,jiao1huo3,firefight; shooting
交班,jiao1ban1,to hand over to the next workshift
交由,jiao1you2,to hand over (responsibility for sth) to (sb); to leave it to (sb else to take charge of the next stage of a process)
交睫,jiao1jie2,to close one's eyes (i.e. sleep)
交管,jiao1guan3,traffic control
交结,jiao1jie2,to associate with; to mix with; to connect
交织,jiao1zhi1,to interweave
交缠,jiao1chan2,to intertwine; to intermingle
交臂,jiao1bi4,linking arms; arm in arm; very close
交与,jiao1yu3,to hand over
交融,jiao1rong2,to blend; to mix
交角,jiao1jiao3,angle of intersection; angle at which two lines meet
交谊,jiao1yi4,association; communion; friendship
交变,jiao1bian4,half-period of a wave motion; alternation
交货,jiao1huo4,to deliver goods
交趾,jiao1zhi3,"former southernmost province of the chinese empire, now northern vietnam"
交办,jiao1ban4,to assign (a task to sb)
交迫,jiao1po4,to be beleaguered
交游,jiao1you2,to have friendly relationships; circle of friends
交运,jiao1yun4,to meet with luck; to hand over for transportation; to check (one's baggage at an airport etc)
交还,jiao1huan2,to return sth; to hand back
交配,jiao1pei4,mating; copulation (esp. of animals)
交钱,jiao1qian2,to pay up; to shell out; to hand over the money to cover sth
交错,jiao1cuo4,to crisscross; to intertwine
交集,jiao1ji2,(math.) (set theory) intersection
交响,jiao1xiang3,"symphony, symphonic"
交驰,jiao1chi2,continuously circling one another; to buzz around
交骨,jiao1gu3,pubic bone
交点,jiao1dian3,meeting point; point of intersection
亥猪,hai4zhu1,"year 12, year of the boar (e.g. 2007)"
亦作,yi4zuo4,also written as
亦即,yi4ji2,namely; that is
亦或,yi4huo4,or
亦称,yi4cheng1,also known as; alternative name; to also be called
亦庄,yi4zhuang1,yizhuang town in beijing municipality
亨利,heng1li4,henry (name); henry (unit of inductance)
亨氏,heng1shi4,"heinz (name); heinz, us food processing company"
亨特,heng1te4,hunter (name)
亨祚,heng1zuo4,to prosper; to flourish
亨通,heng1tong1,to go smoothly; prosperous; going well
享名,xiang3ming2,to enjoy a reputation
享国,xiang3guo2,to reign
享年,xiang3nian2,to live to the (ripe) age of
享乐,xiang3le4,to enjoy life; pleasures of life
享用,xiang3yong4,to enjoy (i.e. have the use or benefit of)
享福,xiang3fu2,to live comfortably; happy and prosperous life
享誉,xiang3yu4,to be renowned
京兆,jing1zhao4,capital of a country
京味,jing1wei4,beijing flavor; beijing style
京哈,jing1ha1,beijing-harbin
京城,jing1cheng2,capital of a country
京报,jing1bao4,peking gazette (official government bulletin)
京师,jing1shi1,capital of a country (literary)
京广,jing1guang3,beijing and guangdong
京戏,jing1xi4,beijing opera
京族,jing1zu2,vietnamese ethnic group in vietnam and south china; the kinh people
京东,jing1dong1,"jingdong, chinese e-commerce company"
京津,jing1jin1,beijing and tianjin
京沪,jing1hu4,beijing and shanghai
京畿,jing1ji1,capital city and its surrounding area
京郊,jing1jiao1,suburbs of beijing
京都,jing1du1,capital (of a country)
亭午,ting2wu3,(literary) noon
亭子,ting2zi5,pavilion
亭台,ting2tai2,pavilion
亭阁,ting2ge2,pavilion
亮光,liang4guang1,light; beam of light; gleam of light; light reflected from an object
亮出,liang4chu1,"to suddenly reveal; to flash (one's id, a banknote etc)"
亮堂,liang4tang2,bright; clear
亮度,liang4du4,brightness
亮彩,liang4cai3,a bright color; sparkle; shine; glitter
亮星,liang4xing1,bright star
亮菌,liang4jun1,armillariella tabescens (mushroom used in trad. chinese medicine)
亮蓝,liang4lan2,bright blue
亳州,bo2zhou1,bozhou prefecture-level city in anhui
亹亹,wei3wei3,diligently; relentlessly; pressing forward
人丁,ren2ding1,number of people in a family; population; male servants
人世,ren2shi4,the world; this world; the world of the living
人中,ren2zhong1,philtrum; infranasal depression
人人,ren2ren2,everyone; every person
人保,ren2bao3,personal guarantee; to sign as guarantor
人偶,ren2ou3,puppet; figure
人杰,ren2jie2,outstanding talent; wise and able person; illustrious individual
人像,ren2xiang4,"likeness of a person (sketch, photo, sculpture etc)"
人儿,ren2r5,figurine
人势,ren2shi4,(human) penis (tcm)
人参,ren2shen1,ginseng
人丛,ren2cong2,crowd of people
人名,ren2ming2,personal name
人命,ren2ming4,human life
人妖,ren2yao1,transvestite; transsexual; ladyboy
人子,ren2zi3,son of man
人孔,ren2kong3,manhole
人定,ren2ding4,middle of the night; the dead of night
人家,ren2jia1,household; dwelling; family; sb else's house; household business; house of woman's husband-to-be
人寰,ren2huan2,world; earthly world
人居,ren2ju1,human habitat
人形,ren2xing2,human shape; in human form; of human appearance; doll; puppet
人从,ren2cong2,retinue; hangers-on
人心,ren2xin1,popular feeling; the will of the people
人性,ren2xing4,human nature; humanity; human; the totality of human attributes
人意,ren2yi4,people's expectations
人族,ren2zu2,hominini
人武,ren2wu3,armed forces
人氏,ren2shi4,native; person from a particular place
人治,ren2zhi4,rule of man
人流,ren2liu2,stream of people; abortion
人海,ren2hai3,a multitude; a sea of people
人渣,ren2zha1,dregs of society; scum
人潮,ren2chao2,a tide of people
人烟,ren2yan1,sign of human habitation
人墙,ren2qiang2,wall (soccer)
人犯,ren2fan4,criminal; culprit
人猿,ren2yuan2,anthropoid ape
人瑞,ren2rui4,very old person; venerable old person
人相,ren2xiang4,physiognomy
人祸,ren2huo4,human disaster
人种,ren2zhong3,race (of people)
人称,ren2cheng1,"person (first person, second person etc in grammar); called; known as"
人精,ren2jing1,sophisticate; man with extensive experience; child prodigy; wunderkind (i.e. brilliant child)
人缘,ren2yuan2,relations with other people
人脉,ren2mai4,contacts; connections; network
人臣,ren2chen2,an official (in former times)
人蛇,ren2she2,illegal immigrant
人设,ren2she4,(fig.) (a celebrity or other public figure's) image in the eyes of the public; public persona
人证,ren2zheng4,witness testimony
人际,ren2ji4,human relationships; interpersonal
人头,ren2tou2,person; number of people; (per) capita; (a person's) head
人马,ren2ma3,men and horses; troops; group of people; troop; staff; centaur
人鱼,ren2yu2,mermaid; dugong; sea cow; manatee; giant salamander
人龙,ren2long2,a queue of people
什器,shi2qi4,various kinds of everyday utensils
什菜,shi2cai4,mixed vegetables
什叶,shi2ye4,shia (a movement in islam)
什锦,shi2jin3,(food) assorted; mixed; assortment
仁丹,ren2dan1,"jintan mouth refresher lozenge, produced by morishita jintan company from 1905"
仁兄,ren2xiong1,(honorific written address) my dear friend
仁厚,ren2hou4,kindhearted; tolerant; honest and generous
仁布,ren2bu4,"rinbung county, tibetan: rin spungs rdzong, in shigatse prefecture, tibet"
仁弟,ren2di4,(honorific written address to younger man) my dear young friend
仁德,ren2de2,benevolent integrity; high mindedness
仁惠,ren2hui4,benevolent; merciful; humane
仁爱,ren2ai4,benevolence; charity; compassion
仁政,ren2zheng4,benevolent policy; humane government
仁义,ren2yi4,benevolence and righteousness
仁义,ren2yi5,affable and even-tempered
仁术,ren2shu4,kindness; benevolence; to govern in humanitarian way
仂语,le4yu3,phrase (linguistics)
仄径,ze4jing4,narrow path
仄声,ze4sheng1,oblique tone; nonlevel tone; uneven tone (the third tone of classical chinese)
仇外,chou2wai4,to feel animosity toward foreigners or outsiders; xenophobia
仇家,chou2jia1,enemy; foe
仇富,chou2fu4,to hate the rich
仇怨,chou2yuan4,hatred and desire for revenge
仇敌,chou2di2,enemy
仇视,chou2shi4,to view sb as an enemy; to be hateful towards
仇雠,chou2chou2,(literary) enemy; foe
仇隙,chou2xi4,feud; bitter quarrel
今世,jin1shi4,this life; this age
今人,jin1ren2,modern people
今儿,jin1r5,(coll.) today
今夜,jin1ye4,tonight; this evening
今昔,jin1xi1,past and present; yesterday and today
今晚,jin1wan3,tonight
今晨,jin1chen2,this morning
今朝,jin1zhao1,at the present; now
今次,jin1ci4,this; the present (meeting etc); this time; this once
今岁,jin1sui4,(literary) this year
今生,jin1sheng1,this life
今译,jin1yi4,modern language version; modern translation; contemporary translation
介乎,jie4hu1,to lie between
介子,jie4zi3,meson; mesotron (physics)
介怀,jie4huai2,to mind; to brood over; to be concerned about
介壳,jie4qiao4,carapace; hard outer shell
介胄,jie4zhou4,armor
介词,jie4ci2,preposition
介质,jie4zhi4,medium; media
仔畜,zi3chu4,newborn animal
仔肩,zi1jian1,to bear responsibility for sth
仔姜,zi3jiang1,stem ginger
仔猪,zi3zhu1,piglet
仕女,shi4nu:35,court lady; palace maid; traditional painting of beautiful women
仕宦,shi4huan4,(literary) to serve as an official
仕途,shi4tu2,official career (formal)
他国,ta1guo2,another country
他律,ta1lu:45,(ethics) heteronomy
他性,ta1xing4,otherness
他杀,ta1sha1,homicide (law)
他用,ta1yong4,other use; other purpose
他者,ta1zhe3,"others; (sociology, philosophy) the other"
他迁,ta1qian1,to relocate; to move elsewhere
他乡,ta1xiang1,foreign land; away from one's native place
仗势,zhang4shi4,to rely on power
仗恃,zhang4shi4,to rely on; to depend on
仗火,zhang4huo3,battle
仗义,zhang4yi4,to uphold justice; to be loyal (to one's friends); to stick by
仗腰,zhang4yao1,to back sb up; to support (from the rear)
付印,fu4yin4,to go to press; to submit for printing
付托,fu4tuo1,to entrust to
付梓,fu4zi3,to send (a manuscript) to the press
付清,fu4qing1,to pay in full; to pay all of a bill; to pay off
付现,fu4xian4,to pay in cash
付给,fu4gei3,to deliver; to pay
付讫,fu4qi4,paid
付诸,fu4zhu1,"to apply to; to put into (practice etc); to put to (a test, a vote etc)"
付账,fu4zhang4,to settle an account
付钱,fu4qian2,to pay money
仙丹,xian1dan1,elixir; magic potion
仙人,xian1ren2,daoist immortal; celestial being
仙去,xian1qu4,to become an immortal; (fig.) to die
仙境,xian1jing4,fairyland; wonderland; paradise
仙女,xian1nu:35,fairy
仙姑,xian1gu1,female immortal; sorceress
仙子,xian1zi3,fairy
仙宫,xian1gong1,"underground palace of ghouls, e.g. asgard of scandinavian mythology"
仙山,xian1shan1,mountain of immortals
仙岛,xian1dao3,island of the immortals
仙方,xian1fang1,prescription of elixir; potion of immortality; potion prescribed by an immortal
仙桃,xian1tao2,xiantao sub-prefecture level city in hubei
仙乐,xian1yue4,heavenly music
仙气,xian1qi4,"ethereal quality; (chinese folklore) a puff of breath from the mouth of a celestial being, which can magically transform an object into sth else"
仙界,xian1jie4,world of the immortals; fairyland; cloud nine
仙童,xian1tong2,elf; leprechaun
仙股,xian1gu3,penny stocks
仙茅,xian1mao2,golden eye-grass (curculigo orchioides); curculigo rhizome (used in tcm)
仙草,xian1cao3,medicinal herb (genus mesona); grass jelly
仙药,xian1yao4,legendary magic potion of immortals; panacea; fig. wonder solution to a problem
仙贝,xian1bei4,rice cracker
仙逝,xian1shi4,to die; to depart this mortal coil
仙乡,xian1xiang1,fairyland; honorific: your homeland
仟悔,qian1hui3,repentance (in christianity)
代代,dai4dai4,from generation to generation; generation after generation
代偿,dai4chang2,(medical) compensation; to repay a debt or obligation in place of someone else
代入,dai4ru4,to substitute into
代劳,dai4lao2,to do sth in place of sb else
代填,dai4tian2,to fill in a form for sb else
代孕,dai4yun4,to serve as a surrogate mother; surrogacy
代字,dai4zi4,code name
代写,dai4xie3,to write as substitute for sb; a ghost writer; plagiarism
代工,dai4gong1,subcontract work; oem (original equipment manufacturer) supplier
代币,dai4bi4,"token (used instead of money for slot machines, in game arcades etc)"
代扣,dai4kou4,to withhold tax (from employee's salary)
代指,dai4zhi3,to mean; to signify
代换,dai4huan4,to substitute; to replace
代收,dai4shou1,to receive sth on another's behalf
代数,dai4shu4,algebra
代书,dai4shu1,to write for sb else; a lawyer who writes legal documents for his clients
代步,dai4bu4,"to get around using a conveyance (car, bicycle, sedan chair etc); to ride (or drive); means of transportation"
代母,dai4mu3,godmother; surrogate mother
代沟,dai4gou1,generation gap
代班,dai4ban1,to substitute for
代码,dai4ma3,code
代祷,dai4dao3,to pray on behalf of sb
代称,dai4cheng1,alternative name; to refer to sth by another name; antonomasia
代笔,dai4bi3,to write on behalf of sb; to ghostwrite
代管,dai4guan3,to administer; to manage; to hold in trust or escrow
代糖,dai4tang2,sugar substitute
代罪,dai4zui4,to redeem oneself; to make up for one's misdeeds
代考,dai4kao3,to take a test or exam for sb
代行,dai4xing2,to act as a substitute; to act on sb's behalf
代言,dai4yan2,to be a spokesperson; to be an ambassador (for a brand); to endorse
代词,dai4ci2,pronoun
代志,dai4zhi4,thing
代课,dai4ke4,to teach as substitute for absent teacher
代谢,dai4xie4,replacement; substitution; metabolism (biol.)
代购,dai4gou4,to buy (on behalf of sb)
代办,dai4ban4,to act for sb else; to act on sb's behalf; an agent; a diplomatic representative
代销,dai4xiao1,to sell as agent; to sell on commission (e.g. insurance policies); proxy sale (of stocks)
代际,dai4ji4,intergenerational; generational
代顿,dai4dun4,dayton (city in ohio)
代餐,dai4can1,meal replacement
令人,ling4ren2,"to cause one (to do sth); to make one (angry, delighted etc)"
令兄,ling4xiong1,your esteemed older brother (honorific)
令吉,ling4ji2,ringgit (malaysian currency unit)
令名,ling4ming2,good name; reputation
令堂,ling4tang2,(honorific) your mother
令尊,ling4zun1,your esteemed father (honorific)
令弟,ling4di4,honorable little brother
令爱,ling4ai4,your precious daughter
令慈,ling4ci2,your esteemed mother (honorific)
令正,ling4zheng4,your wife (honorific)
令牌,ling4pai2,(archaic) wooden or metal token of authority; (fig.) decree; directive; (computing) token
令状,ling4zhuang4,writ
令狐,ling2hu2,two-character surname linghu
令箭,ling4jian4,arrow banner of command (archaic used as symbol of military authority); fig. instructions from one's superiors
令节,ling4jie2,festive season; happy time; noble principle
令药,ling4yao4,seasonal medication
令亲,ling4qin1,your esteemed parent (honorific)
令誉,ling4yu4,honorable reputation
令郎,ling4lang2,your esteemed son (honorific)
令阃,ling4kun3,your wife (honorific)
以北,yi3bei3,to the north of (suffix)
以南,yi3nan2,to the south of (suffix)
以埃,yi3ai1,israel-egypt
以太,yi3tai4,ether-
以巴,yi3ba1,israeli-palestinian
以律,yi3lu:45,eluid (son of achim)
以撒,yi3sa1,isaac (son of abraham)
以叙,yi3xu4,israel-syria
以期,yi3qi1,in order to; hoping to; attempting to; waiting for
以东,yi3dong1,to the east of (suffix)
以次,yi3ci4,in the proper order; the following
以此,yi3ci3,with this; thereby; thus; because of this
以求,yi3qiu2,in order to
以至,yi3zhi4,down to; up to; to such an extent as to ...
以西,yi3xi1,to the west of (suffix)
以资,yi3zi1,by way of; to serve as
以军,yi3jun1,israeli soldiers
以防,yi3fang2,(so as) to avoid; to prevent; (just) in case
以降,yi3jiang4,since (some point in the past)
仫佬,mu4lao3,mulao ethnic group of guangxi
仰仗,yang3zhang4,to rely on; to depend on
仰光,yang3guang1,"yangon (rangoon), city, capital of myanmar from 1948 to 2006"
仰天,yang3tian1,to face upwards; to look up to the sky
仰屋,yang3wu1,to lie looking at the ceiling (in despair)
仰慕,yang3mu4,to admire
仰望,yang3wang4,to look up at; to look up to sb hopefully
仰泳,yang3yong3,backstroke
仰卧,yang3wo4,to lie supine
仰视,yang3shi4,to tilt one's head back to see (sth); to look up at
