我 wo3  "戈 ge1, 弋 yi4" 0 "我们 我国 自我 我方" "我 wo3 i; me; my
我们 wo3men5 we; us; ourselves; our
烧烤 shao1kao3 barbecue; to roast
火烧 huo3shao1 to set fire to; to burn down; burning hot; baked cake"
委 wei3 隗𬱟炜痿𬀩艉萎薳娓苇廆洧伪纬亹𫇭诿尾伟鲔玮猥韪 "禾 he2, 女 nü3, 木 mu4, 十 shi2" 969 "委员 委屈 委托 党委" "委 wei3 to entrust; to cast aside; to shift (blame etc); to accumulate; roundabout; winding; dejected; listless; committee member; council; end; actually; certainly
委员 wei3yuan2 committee member
委屈 wei3qu5 to feel wronged; to cause sb to feel wronged; grievance
委托 wei3tuo1 to entrust; to trust; to commission
党委 dang3wei3 party committee"
暗 an4 岸胺犴黯案按 "日 ri4, 音 yin1, 囗 wei2, 立 li4, 亠 tou2" 970 "黑暗 暗示 暗暗 暗自" "暗 an4 dark; gloomy; hidden; secret; muddled; obscure; in the dark; to close (a door); to eclipse; muddled; stupid; ignorant
黑暗 hei1an4 dark; darkly; darkness
暗示 an4shi4 to hint; to suggest; hint; suggestion
暗暗 an4an4 secretly; inwardly
暗自 an4zi4 inwardly; to oneself; secretly"
左 zuo3 佐 "工 gong1" 971 "左右 左边 左手 左侧" "左 zuo3 left; the left (politics); east; unorthodox; queer; wrong; differing; opposite
左右 zuo3you4 left and right; nearby; approximately; attendant; to control; to influence
左边 zuo3bian5 left; the left side; to the left of
左手 zuo3shou3 left hand; left-hand side
左侧 zuo3ce4 left side"
输 shu1 鄃殳枢摅书抒陎菽梳舒姝毹疏淑纾倏叔蔬殊 "车 che1, 俞 yu2, 十 shi2, 刖 yue4, 人 ren2, 月 yue4, 刂 dao1" 972 "输入 运输 输出 传输" "输 shu1 to lose; to transport; to donate; to enter (a password)
输入 shu1ru4 to import; to input
运输 yun4shu1 to transport; to carry; transportation
输出 shu1chu1 to export; to output
传输 chuan2shu1 to transmit; transmission"
曲 qu3 龋取娶竘 "曰 yue1, 囗 wei2" 973 "歌曲 曲子 曲线 扭曲" "曲 qu1 bent; crooked; wrong; yeast; aspergillus (includes many common molds)
歌曲 ge1qu3 song
曲子 qu3zi5 poem for singing; tune; music
曲线 qu1xian4 curve; curved line; indirect; in a roundabout way
扭曲 niu3qu1 to twist; to warp; to distort"
仍 reng2  "乃 nai3" 974 "仍然 仍旧" "仍 reng2 still; yet; to remain; (literary) frequently; often
仍然 reng2ran2 still; as before; yet
仍旧 reng2jiu4 still (remaining); to remain (the same); yet"
训 xun4 讯汛驯噀巽蕈迅徇逊殉 "讠 yan2, 川 chuan1" 975 "训练 培训 教训 军训" "训 xun4 to teach; to train; to admonish; instruction (from superiors); teachings; rule
训练 xun4lian4 to train; to drill; training
培训 pei2xun4 to cultivate; to train; to groom; training
教训 jiao4xun5 to provide guidance; to lecture sb; to upbraid; a talking-to; a bitter lesson
军训 jun1xun4 to do military training"
借 jie4 蚧芥疥骱介界戒诫玠褯悈届 "昔 xi1, 日 ri4, 卄 nian4, 十 shi2, 囗 wei2" 976 "借口 借助 凭借 借鉴" "借 jie4 to lend; to borrow; by means of; to take (an opportunity)
借口 jie4kou3 to use as an excuse; excuse; pretext
借助 jie4zhu4 to draw support from; with the help of
凭借 ping2jie4 to rely on; to depend on; by means of; thanks to; sth that one relies on
借鉴 jie4jian4 to draw on (others' experience); to learn from (how others do things); lesson to be learned (by observing others)"
扔 reng1  "扌 shou3, 乃 nai3, ㇀ ti2" 977 "扔掉 扔下" "扔 reng1 to throw; to throw away
扔掉 reng1diao4 to throw away; to throw out
扔下 reng1xia4 to throw down; to drop (bomb)"
善 shan4 鳝剡疝赡嶦蟮𫮃扇墡骟缮鄯擅膳汕讪嬗 "羊 yang2, 口 kou3, 二 er4" 978 "改善 善良 完善 善于" "善 shan4 good (virtuous); benevolent; well-disposed; good at sth; to improve or perfect
改善 gai3shan4 to make better; to improve
善良 shan4liang2 good and honest; kindhearted
完善 wan2shan4 (of systems, facilities etc) comprehensive; well-developed; excellent; to refine; to improve
善于 shan4yu2 to be good at; to be adept at"
社 she4 滠赦涉慑歙射厍麝摄设 "土 tu3, 卜 bu3, 十 shi2" 979 "社会 社区 社会主义 报社" "社 she4 (bound form) society; organization; agency
社会 she4hui4 society
社区 she4qu1 community; neighborhood
社会主义 she4hui4zhu3yi4 socialism
报社 bao4she4 newspaper (i.e. a company)"
轮 lun2 沦𬬭囵伦仑 "车 che1, 仑 lun2, 十 shi2, 人 ren2, 匕 bi3" 980 "轮到 轮流 轮胎 轮廓" "轮 lun2 wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn
轮到 lun2dao4 to be (sb's or sth's) turn
轮流 lun2liu2 to alternate; to take turns
轮胎 lun2tai1 tire; pneumatic tire
轮廓 lun2kuo4 an outline; silhouette"
顶 ding3 鼎 "丁 ding1, 页 ye4, 贝 bei4, 人 ren2" 981 "头顶 屋顶 山顶 顶上" "顶 ding3 apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); classifier for headwear, hats, veils etc
头顶 tou2ding3 top of the head
屋顶 wu1ding3 roof
山顶 shan1ding3 hilltop
顶上 ding3shang4 on top of; at the summit"
聪 cong1 苁囱璁骢葱熜匆枞 "耳 er3, 总 zong3, 口 kou3, 心 xin1" 982 "聪明 聪慧 聪颖" "聪 cong1 quick at hearing; wise; clever; sharp-witted; intelligent; acute
聪明 cong1ming5 intelligent; clever; bright; smart; acute (of sight and hearing)
聪慧 cong1hui4 bright; witty; intelligent
聪颖 cong1ying3 smart; intelligent"
秀 xiu4 溴锈琇岫嗅珛袖绣 "禾 he2, 乃 nai3, 木 mu4, 十 shi2" 983 "优秀 秀才 清秀 秀丽" "秀 xiu4 handsome; refined; elegant; graceful; superior; (literary) to grow; to bloom; (of crops) to produce ears
优秀 you1xiu4 outstanding; excellent
秀才 xiu4cai5 a person who has passed the county level imperial exam (historical); scholar; skillful writer; fine talent
清秀 qing1xiu4 delicate and pretty
秀丽 xiu4li4 pretty; beautiful"
刀 dao1 忉刂舠鱽叨氘  984 "刀子 剪刀 菜刀 小刀" "刀 dao1 knife; blade; single-edged sword; cutlass; classifier for sets of one hundred sheets (of paper); classifier for knife cuts or stabs
刀子 dao1zi5 knife
剪刀 jian3dao1 scissors
菜刀 cai4dao1 vegetable knife; kitchen knife; cleaver
小刀 xiao3dao1 knife"
莫 mo4 𬙊寞蓦秣漠墨貊耱默镆茉瘼靺末沫殁陌貘 "艹 cao3, 十 shi2, 日 ri4, 大 da4, 囗 wei2, 人 ren2" 985 "莫名 莫非 莫大 莫不" "莫 mo4 do not; there is none who
莫名 mo4ming2 inexpressible; indescribable; unexplainable; inexplicable
莫非 mo4fei1 can it be possible that; could it be
莫大 mo4da4 greatest; most important
莫不 mo4bu4 none doesn't; there is none who isn't; everyone"
腿 tui3  "退 tui4, 辶 chuo4, 艮 gen3" 986 "大腿 双腿 小腿 火腿" "腿 tui3 leg; hip bone
大腿 da4tui3 thigh
双腿 shuang1tui3 legs; both legs; two legs
小腿 xiao3tui3 lower leg (from knee to ankle); shank
火腿 huo3tui3 ham"
族 zu2 镞足卒崒 "矢 shi3, 方 fang1, 𠂉 jiu3, 万 wan4, 大 da4, 人 ren2" 987 "民族 家族 贵族 种族" "族 zu2 race; nationality; ethnicity; clan
民族 min2zu2 nationality; ethnic group
家族 jia1zu2 family; clan
贵族 gui4zu2 lord; nobility; nobleman; noblewoman; aristocrat; aristocracy
种族 zhong3zu2 race; ethnicity"
鞋 xie2 㙦勰谐偕邪缬撷协携挟胁斜 "革 ge2, 圭 gui1, 土 tu3, 十 shi2" 988 "皮鞋 鞋子 拖鞋 凉鞋" "鞋 xie2 shoe
皮鞋 pi2xie2 leather shoes
鞋子 xie2zi5 shoe
拖鞋 tuo1xie2 slippers; sandals; flip-flops
凉鞋 liang2xie2 sandal"
兵 bing1 槟冰 "丘 qiu1, 八 ba1, 斤 jin1" 989 "士兵 官兵 当兵 兵力" "兵 bing1 soldiers; a force; an army; weapons; arms; military; warlike
士兵 shi4bing1 soldier
官兵 guan1bing1 (military) officers and soldiers; officers and men
当兵 dang1bing1 to serve in the army; to be a soldier
兵力 bing1li4 military strength; armed forces; troops"
锁 suo3 琐所索溹唢 "钅 jin1, 𠂉 jiu3, 二 er4, 贝 bei4, 人 ren2" 990 "封锁 锁定 连锁 锁上" "锁 suo3 to lock; to lock up
封锁 feng1suo3 to blockade; to seal off; to lock down
锁定 suo3ding4 to lock (a door); to close with a latch; to lock into place; a lock; a latch; to lock a computer file (to prevent it being overwritten); to lock (denying access to a computer system or device or files, e.g. by password-protection); to focus attention on; to target
连锁 lian2suo3 to interlock; to be linked; chain (store etc)
锁上 suo3shang4 to lock; to lock up"
妮 ni1  "女 nü3, 尼 ni2, 尸 shi1, 匕 bi3" 991 "安妮 妮子" "妮 ni1 girl
安妮 an1ni1 annie (name)
妮子 ni1zi5 (coll.) lass"
异 yi4 疫悒埸怿勚谊绎刈嫕羿⺈邑峄益义翳役呓乂薏屹抑𬟁螠 "巳 si4, 廾 gong3, 十 shi2" 992 "异常 差异 异性 诧异" "异 yi4 different; other; hetero-; unusual; strange; surprising; to distinguish; to separate; to discriminate
异常 yi4chang2 unusual; abnormal; extremely; exceptionally
差异 cha1yi4 difference; discrepancy
异性 yi4xing4 the opposite sex; of the opposite sex; heterosexual; different in nature
诧异 cha4yi4 flabbergasted; astonished"
誓 shi4 室是势试世媞事式市示释适铈饰柿逝侍嗜噬拭䏡仕恃弑 "折 zhe2, 言 yan2, 扌 shou3, 斤 jin1, ㇀ ti2, 亠 tou2, 口 kou3" 993 "发誓 誓言 宣誓 誓死" "誓 shi4 oath; vow; to swear; to pledge
发誓 fa1shi4 to vow; to pledge; to swear
誓言 shi4yan2 to pledge; to promise; oath; vow
宣誓 xuan1shi4 to swear an oath (of office); to make a vow
誓死 shi4si3 to pledge one's life"
树 shu4 隃澍恕沭数墅腧庶术述束竖戍漱𬬸 "木 mu4, 对 dui4, 十 shi2, 又 you4, 寸 cun4" 994 "树林 树立 树木 树叶" "树 shu4 tree; to cultivate; to set up
树林 shu4lin2 woods; grove; forest
树立 shu4li4 to set up; to establish
树木 shu4mu4 tree
树叶 shu4ye4 tree leaves"
木 mu4 睦穆苜幕募沐仫牧暮钼目慕墓 "十 shi2" 995 "木头 树木 麻木 木板" "木 mu4 (bound form) tree; (bound form) wood; unresponsive; numb; wooden
木头 mu4tou5 slow-witted; blockhead; log (of wood, timber etc)
树木 shu4mu4 tree
麻木 ma2mu4 numb; insensitive; apathetic
木板 mu4ban3 slab; board; plank"
抢 qiang3 襁羟 "扌 shou3, 仓 cang1, ㇀ ti2, 人 ren2" 996 "抢救 抢劫 抢走 抢先" "抢 qiang3 to fight over; to rush; to scramble; to grab; to rob; to snatch
抢救 qiang3jiu4 to rescue
抢劫 qiang3jie2 to rob; looting
抢走 qiang3zou3 to snatch (esp related to a robbery)
抢先 qiang3xian1 to rush (to do sth urgent); to try to be the first; to forestall"
档 dang4 砀垱菪宕𬍡荡凼 "木 mu4, 当 dang1, 十 shi2" 997 "高档 档次 文档 搭档" "档 dang4 official records; grade (of goods); file; records; shelves; slot; gap; crosspiece; classifier for crosspieces; classifier for events, affairs etc
高档 gao1dang4 superior quality; high grade; top grade
档次 dang4ci4 grade; class; quality; level
文档 wen2dang4 (computer) file; document; documentation
搭档 da1dang4 to cooperate; partner"
雇 gu4 固牿鲴锢故痼梏顾堌崮 "户 hu4, 隹 zhui1, 尸 shi1, 亠 tou2, 土 tu3, 十 shi2" 998 "雇主 雇员 雇佣 雇用" "雇 gu4 to employ; to hire; to rent
雇主 gu4zhu3 employer
雇员 gu4yuan2 employee
雇佣 gu4yong1 to employ; to hire
雇用 gu4yong4 to employ; to hire"
广 guang3 犷 "厂 chang3" 999 "广告 广场 广州 广播" "广 guang3 wide; numerous; to spread
广告 guang3gao4 to advertise; a commercial; advertisement
广场 guang3chang3 public square; plaza
广州 guang3zhou1 guangzhou subprovincial city and capital of guangdong; canton
广播 guang3bo1 broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize"
丹 dan1 耽瘅箪眈单聃殚担儋郸 "亠 tou2" 1000 "丹麦 乔丹 牡丹 苏丹" "丹 dan1 red; pellet; powder; cinnabar
丹麦 dan1mai4 denmark
乔丹 qiao2dan1 jordan (name)
牡丹 mu3dan5 tree peony (paeonia suffruticosa)
苏丹 su1dan1 sudan; sultan (ruler of some muslim states, esp. ottoman emperor)"
银 yin2 龂龈嚚吟寅夤硍蟫訚珢崟淫狺霪垠鄞 "钅 jin1, 艮 gen3, 𠂉 jiu3, 二 er4" 1001 "银行 银子 银币 银幕" "银 yin2 silver; silver-colored; relating to money or currency
银行 yin2hang2 bank
银子 yin2zi5 money; silver
银币 yin2bi4 silver coin
银幕 yin2mu4 movie screen"
镜 jing4 迳痉径靓靖静敬境倞婧胫净竟竞獍竫 "钅 jin1, 竟 jing4, 𠂉 jiu3, 二 er4, 音 yin1, 儿 er2, 立 li4, 日 ri4, 亠 tou2, 囗 wei2" 1002 "镜头 眼镜 镜子 镜像" "镜 jing4 mirror; lens
镜头 jing4tou2 camera lens; camera shot (in a movie etc); scene
眼镜 yan3jing4 spectacles; eyeglasses
镜子 jing4zi5 mirror
镜像 jing4xiang4 mirror image"
群 qun2 裙 "君 jun1, 羊 yang2, 尹 yin3, 口 kou3, 二 er4" 1003 "群众 人群 群体 成群" "群 qun2 group; crowd; flock, herd, pack etc
群众 qun2zhong4 mass; multitude; the masses
人群 ren2qun2 crowd
群体 qun2ti3 community; colony
成群 cheng2qun2 in groups; large numbers of; grouping"
坦 tan3 钽袒菼璮毯忐 "土 tu3, 旦 dan4, 十 shi2, 日 ri4, 囗 wei2" 1004 "坦白 坦然 坦率 平坦" "坦 tan3 flat; open-hearted; level; smooth
坦白 tan3bai2 honest; forthcoming; to confess
坦然 tan3ran2 calm; undisturbed
坦率 tan3shuai4 frank (discussion); blunt; open
平坦 ping2tan3 level; even; smooth; flat"
汉 han4 撖捍垾撼暵颔憾焊菡扞翰悍瀚汗旱 "氵 shui3, 又 you4, ㇀ ti2" 1005 "汉语 汉字 武汉 汉子" "汉 han4 han ethnic group; chinese (language); man
汉语 han4yu3 chinese language
汉字 han4zi4 chinese character
武汉 wu3han4 wuhan city on changjiang, subprovincial city and capital of hubei province
汉子 han4zi5 man; fellow"
土 tu3 钍吐 "十 shi2" 1006 "土地 本土 泥土 领土" "土 tu3 tu (ethnic group); earth; dust; clay; local; indigenous; crude opium; unsophisticated
土地 tu3di5 local god; genius loci
本土 ben3tu3 one's native country; native; local; metropolitan territory
泥土 ni2tu3 earth; soil; mud; clay
领土 ling3tu3 territory"
短 duan3  "矢 shi3, 豆 dou4, 𠂉 jiu3, 大 da4, 人 ren2, 口 kou3" 1007 "短信 短暂 短期 缩短" "短 duan3 short; brief; to lack; weak point; fault
短信 duan3xin4 text message; sms
短暂 duan3zan4 of short duration; brief; momentary
短期 duan3qi1 short term; short-term
缩短 suo1duan3 to curtail; to cut down"
伴 ban4 湴半靽绊拌扮办柈瓣 "半 ban4, 二 er4" 1008 "伙伴 伴随 同伴 陪伴" "伴 ban4 partner; companion; comrade; associate; to accompany
伙伴 huo3ban4 partner; companion; comrade
伴随 ban4sui2 to accompany; to follow; to occur together with; concomitant
同伴 tong2ban4 companion; comrade; fellow
陪伴 pei2ban4 to accompany"
播 bo1 钵拨哱饽蕃剥嶓𬭛玻波菠砵 "扌 shou3, 番 fan1, ㇀ ti2, 田 tian2, 米 mi3, 木 mu4, 十 shi2, 囗 wei2" 1009 "广播 传播 播放 直播" "播 bo1 to sow; to scatter; to spread; to broadcast
广播 guang3bo1 broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize
传播 chuan2bo1 to disseminate; to propagate; to spread
播放 bo1fang4 to broadcast; to transmit (by radio or tv)
直播 zhi2bo1 (tv, radio) to broadcast live; live broadcast; (internet) to livestream; (agriculture) direct seeding"
环 huan2 萑荁洹𬘫桓鬟峘鹮圜郇寰𤩽镮锾貆还缳澴 "不 bu4, 十 shi2, ㇀ ti2" 1010 "环境 环保 环节 循环" "环 huan2 ring; hoop; loop; (chain) link; classifier for scores in archery etc; to surround; to encircle; to hem in
环境 huan2jing4 environment; circumstances; surroundings; ambient
环保 huan2bao3 environmental protection; environmentally friendly
环节 huan2jie2 (zoology) segment (of the body of a worm, centipede etc); (fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process) etc
循环 xun2huan2 to cycle; to circulate; circle; loop"
恨 hen4  "忄 xin1, 艮 gen3" 1011 "仇恨 痛恨 怨恨 憎恨" "恨 hen4 to hate; to regret
仇恨 chou2hen4 to hate; hatred; enmity; hostility
痛恨 tong4hen4 to detest; to loathe; to abhor
怨恨 yuan4hen4 to resent; to harbor a grudge against; to loathe; resentment; rancor
憎恨 zeng1hen4 to detest; hatred"
移 yi2 簃姨咦仪圯嶷胰宧夷沂诒匜宜迤遗颐贻眙疑扅椸痍彝怡 "禾 he2, 多 duo1, 木 mu4, 十 shi2, 夕 xi1" 1012 "移民 移动 转移 移植" "移 yi2 to move; to shift; to change; to alter; to remove
移民 yi2min2 to immigrate; to migrate; emigrant; immigrant
移动 yi2dong4 to move; movement; migration; mobile; portable
转移 zhuan3yi2 to shift; to relocate; to transfer; (fig.) to shift (attention); to change (the subject etc); (medicine) to metastasize
移植 yi2zhi2 to transplant"
编 bian1 蝙笾萹砭鳊煸鞭边 "纟 si1, 扁 bian3, ㇀ ti2, 卄 nian4, 十 shi2" 1013 "编辑 主编 编号 邮编" "编 bian1 to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate; to make up
编辑 bian1ji2 to edit; to compile; editor; compiler
主编 zhu3bian1 editor in chief
编号 bian1hao4 to number; numbering; serial number
邮编 you2bian1 postal code; zip code"
温 wen1 鳁蕰榅瘟辒 "氵 shui3, ㇀ ti2, 日 ri4, 皿 min3, 囗 wei2" 1014 "温暖 温柔 温度 温馨" "温 wen1 warm; lukewarm; temperature; to warm up; mild; soft; tender; to review (a lesson etc); fever (tcm)
温暖 wen1nuan3 warm
温柔 wen1rou2 gentle and soft; tender
温度 wen1du4 temperature
温馨 wen1xin1 comfort; soft and fragrant; warm"
刺 ci4 伺莿佽次赐 "朿 ci4, 刂 dao1, 木 mu4, 十 shi2" 1015 "刺激 讽刺 冲刺 刺耳" "刺 ci4 thorn; sting; thrust; to prick; to pierce; to stab; to assassinate; to murder
刺激 ci4ji1 to provoke; to irritate; to upset; to stimulate; to excite; irritant
讽刺 feng3ci4 to satirize; to mock; irony; satire; sarcasm
冲刺 chong1ci4 (sports) to sprint; to spurt; to dash; to put in a big effort to achieve a goal as the deadline approaches
刺耳 ci4er3 ear-piercing"
毫 hao2 貉嗥壕嚎濠豪蚝 "亠 tou2, 口 kou3, 冖 mi4, 毛 mao2, 二 er4" 1016 "毫无 丝毫 毫米 毫升" "毫 hao2 hair; drawing brush; (in the) least; one thousandth; currency unit, 0.1 yuan
毫无 hao2wu2 not in the least; to completely lack
丝毫 si1hao2 the slightest amount or degree; a bit
毫米 hao2mi3 millimeter
毫升 hao2sheng1 milliliter"
右 you4 柚诱蚴釉祐幼囿侑佑又鼬宥 "口 kou3" 1017 "左右 右手 右边 右派" "右 you4 (bound form) right; right-hand side; (bound form) (politics) right of center; (literary) the right side as the side of precedence
左右 zuo3you4 left and right; nearby; approximately; attendant; to control; to influence
右手 you4shou3 right hand; right-hand side
右边 you4bian5 right side; right, to the right
右派 you4pai4 (political) right; right wing; rightist"
野 ye3 冶也 "里 li3, 予 yu2, 田 tian2, 土 tu3, 囗 wei2, 十 shi2, 龴 jue2" 1018 "视野 野蛮 田野 野生" "野 ye3 field; plain; open space; limit; boundary; rude; feral
视野 shi4ye3 field of view; (fig.) outlook; perspective
野蛮 ye3man2 barbarous; uncivilized
田野 tian2ye3 field; open land
野生 ye3sheng1 wild; undomesticated"
哭 ku1 刳窟矻圐枯骷 "犬 quan3, 口 kou3, 大 da4, 人 ren2" 1019 "哭泣 大哭 哭声 痛哭" "哭 ku1 to cry; to weep
哭泣 ku1qi4 to weep
大哭 da4ku1 to cry loudly
哭声 ku1sheng1 sound of weeping
痛哭 tong4ku1 to cry bitterly"
遍 bian4 便昪弁苄卞辨变抃辫汴辩忭𨚕 "辶 chuo4, 扁 bian3, 卄 nian4, 十 shi2" 1020 "普遍 遍地 遍布 传遍" "遍 bian4 everywhere; all over; classifier for actions: one time
普遍 pu3bian4 universal; general; widespread; common
遍地 bian4di4 everywhere; all over
遍布 bian4bu4 to cover the whole (area); to be found throughout
传遍 chuan2bian4 to spread widely"
库 ku4 绔酷裤喾 "广 guang3, 车 che1, 厂 chang3, 十 shi2" 1021 "仓库 水库 库存 书库" "库 ku4 warehouse; storehouse; (file) library
仓库 cang1ku4 depot; storehouse; warehouse
水库 shui3ku4 reservoir
库存 ku4cun2 property or cash held in reserve; stock
书库 shu1ku4 a store room for books; fig. an erudite person; the bibliotheca and epitome of pseudo-apollodorus"
搭 da1 𨱏褡哒嗒耷 "扌 shou3, ㇀ ti2, 艹 cao3, 合 he2, 十 shi2, 口 kou3, 人 ren2" 1022 "搭配 搭乘 搭档 搭建" "搭 da1 to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train)
搭配 da1pei4 to pair up; to match; to arrange in pairs; to add sth into a group
搭乘 da1cheng2 to ride as a passenger; to travel by (car, plane etc)
搭档 da1dang4 to cooperate; partner
搭建 da1jian4 to build (esp. with simple materials); to knock together (a temporary shed); to rig up"
康 kang1 慷𡐓𩾌糠 "广 guang3, 隶 li4, 厂 chang3, 八 ba1" 1023 "健康 康复 小康 康乐" "康 kang1 healthy; peaceful; abundant
健康 jian4kang1 health; healthy
康复 kang1fu4 to recuperate; to recover (health); to convalesce
小康 xiao3kang1 moderately affluent; well-off; a period of peace and prosperity
康乐 kang1le4 healthy and happy; recreation"
症 zheng4 政证诤挣郑怔正 "疒 ne4, 正 zheng4, 广 guang3, ㇀ ti2, 厂 chang3, 止 zhi3" 1024 "症状 癌症 病症 绝症" "症 zheng4 disease; illness
症状 zheng4zhuang4 symptom (of an illness)
癌症 ai2zheng4 cancer
病症 bing4zheng4 disease; illness
绝症 jue2zheng4 incurable disease; terminal illness"
荣 rong2 瑢榕绒蓉狨蝾容熔茸溶融镕嵘戎 "木 mu4, 艹 cao3, 冖 mi4, 十 shi2" 1025 "荣誉 光荣 繁荣 荣获" "荣 rong2 glory; honor; thriving
荣誉 rong2yu4 honor; credit; glory; (honorable) reputation; honorary
光荣 guang1rong2 honor and glory; glorious
繁荣 fan2rong2 prosperous; booming (economy)
荣获 rong2huo4 be honored with"
充 chong1 㳘忡翀艟憧茺摏冲舂珫 "儿 er2, 厶 si1" 1026 "充满 充分 补充 充实" "充 chong1 sufficient; full; to fill; to serve as; to act as; to act falsely as; to pose as
充满 chong1man3 full of; brimming with; very full; permeated
充分 chong1fen4 ample; sufficient; adequate; full; fully; to the full
补充 bu3chong1 to replenish; to supplement; to complement; additional; supplementary
充实 chong1shi2 rich; full; substantial; to enrich; to augment; to substantiate (an argument)"
创 chuang4 怆 "仓 cang1, 刂 dao1, 人 ren2" 1027 "创造 创作 原创 创新" "创 chuang4 to begin; to initiate; to inaugurate; to start; to create
创造 chuang4zao4 to create; to bring about; to produce; to set (a record)
创作 chuang4zuo4 to create; to produce; to write; creative work; creation
原创 yuan2chuang4 to create (sth original); (adj.) original; originality; original work
创新 chuang4xin1 to bring forth new ideas; to blaze new trails; innovation"
尝 chang2 鲿常嫦肠徜苌偿 "云 yun2, 冖 mi4, 二 er4, 厶 si1" 1028 "尝试 品尝 何尝 未尝" "尝 chang2 to taste; to try (food); to experience; (literary) ever; once; to taste
尝试 chang2shi4 to try; to attempt
品尝 pin3chang2 to taste a small amount; to sample
何尝 he2chang2 (rhetorical question) when?; how?; it's not that...
未尝 wei4chang2 not ever; not necessarily"
列 lie4 脟捩䴕劣𫚭躐猎冽埒峛烈鬣洌裂趔 "歹 dai3, 刂 dao1, 夕 xi1" 1029 "系列 列车 下列 列表" "列 lie4 to arrange; to line up; file; series; (in data tables) column
系列 xi4lie4 series; set
列车 lie4che1 (railway) train
下列 xia4lie4 following
列表 lie4biao3 list"
毕 bi4 避弼愎邲赑萆馝嬖铋痹裨篦毖蔽碧哔陛咇筚滗弊闭荜庇 "比 bi3, 十 shi2, 匕 bi3" 1030 "毕业 毕竟 毕业生 完毕" "毕 bi4 the whole of; to finish; to complete; complete; full; finished
毕业 bi4ye4 graduation; to graduate; to finish school
毕竟 bi4jing4 after all; all in all; when all is said and done; in the final analysis
毕业生 bi4ye4sheng1 graduate
完毕 wan2bi4 to finish; to end; to complete"
般 ban1 攽搬𨭉扳颁斑班瘢癍 "舟 zhou1, 殳 shu1, 又 you4" 1031 "一般 这般 百般 般若" "般 ban1 sort; kind; class; way; manner
一般 yi1ban1 same; ordinary; so-so; common; general; generally; in general
这般 zhe4ban1 like this; this way
百般 bai3ban1 in hundred and one ways; in every possible way; by every means
般若 bo1re3 great wisdom; wondrous knowledge"
聚 ju4 岠苣遽句讵犋钜飓秬剧距锯惧澽踞倨据拒巨醵窭屦俱具 "取 qu3, 乑 zhong4, 耳 er3, 又 you4" 1032 "聚会 聚集 相聚 团聚" "聚 ju4 to congregate; to assemble; to mass; to gather together; to amass; to polymerize
聚会 ju4hui4 party; gathering; to meet; to get together
聚集 ju4ji2 to assemble; to gather
相聚 xiang1ju4 to meet together; to assemble
团聚 tuan2ju4 to reunite; to have a reunion"
劳 lao2 醪𫭼痨唠铹牢崂 "力 li4, 艹 cao3, 冖 mi4, 十 shi2" 1033 "疲劳 劳教 劳工 劳累" "劳 lao2 to toil; labor; laborer; to put sb to trouble (of doing sth); meritorious deed
疲劳 pi2lao2 fatigue; wearily; weariness; weary
劳教 lao2jiao4 reeducation through labor
劳工 lao2gong1 labor; laborer
劳累 lao2lei4 tired; exhausted; worn out; to toil"
攻 gong1 恭供䢼躬功肱觥蚣弓龚公工宫 "工 gong1, 攵 pu1, 𠂉 jiu3, 乂 yi4" 1034 "攻击 进攻 攻读 攻势" "攻 gong1 to attack; to accuse; to study
攻击 gong1ji1 to attack; to accuse; to charge; an attack (terrorist or military)
进攻 jin4gong1 to attack; to assault; to go on the offensive; attack; assault; offense (sports)
攻读 gong1du2 to major (in a field); to study a specialty to obtain a higher degree
攻势 gong1shi4 (military) offensive"
忍 ren3 荏稔 "刃 ren4, 心 xin1, 刀 dao1" 1035 "忍不住 忍受 残忍 不忍" "忍 ren3 to bear; to endure; to tolerate; to restrain oneself
忍不住 ren3bu5zhu4 cannot help; unable to bear
忍受 ren3shou4 to bear; to endure
残忍 can2ren3 cruel; mean; merciless; ruthless
不忍 bu4ren3 cannot bear to"
势 shi4 视媞铈襫示事室贳誓拭逝螫奭筮谥䏡仕𬤊释轼栻氏舐侍 "执 zhi2, 力 li4, 扌 shou3, 丸 wan2, ㇀ ti2, 九 jiu3" 1036 "优势 形势 趋势 势力" "势 shi4 power; influence; potential; momentum; tendency; trend; situation; conditions; outward appearance; sign; gesture; male genitals
优势 you1shi4 superiority; dominance; advantage
形势 xing2shi4 circumstances; situation; terrain
趋势 qu1shi4 trend; tendency
势力 shi4li5 power; influence; a force (military, political etc)"
尊 zun1 𨱔嶟鳟遵樽 "酋 qiu2, 寸 cun4, 酉 you3, 西 xi1, 儿 er2, 囗 wei2" 1037 "尊重 尊敬 尊严 自尊" "尊 zun1 senior; of a senior generation; to honor; to respect; honorific; classifier for cannons and statues
