的 de
了 le
派 pai4 "clique; school; group; faction; to dispatch; to send; to assign; to appoint"
派出 pai4chu1 "to send; to dispatch"
意志 yi4zhi4 "will; willpower; determination"
咱们 zan2men5 "we or us (including both the speaker and the person(s) spoken to)"
咱 zan2 "i or me; we (including both the speaker and the person spoken to)"
研制 yan2zhi4 "to manufacture; to develop"
法制 fa3zhi4 "legal system and institutions; made in france"
机制 ji1zhi4 "mechanism; machine-processed; machine-made"
控制 kong4zhi4 "to control"
制成 zhi4cheng2 "to manufacture; to turn out (a product)"
制约 zhi4yue1 "to restrict; condition"
健全 jian4quan2 "robust; sound"
保健 bao3jian4 "health protection; health care; to maintain in good health"
健康 jian4kang1 "health; healthy"
康复 kang1fu4 "to recuperate; to recover (health); to convalesce"
杯 bei1 "cup; trophy cup; classifier for certain containers of liquids: glass, cup; trophy cup; classifier for certain containers of liquids: glass, cup"
杯子 bei1zi5 "cup; glass"
干杯 gan1bei1 "to drink a toast; lit. dry cup"
世界杯 shi4jie4bei1
遇 yu4 "to meet; to encounter; to treat; to receive; opportunity; chance"
遇见 yu4jian5
遇到 yu4dao4 "to meet; to run into; to come across"
客户 ke4hu4 "client; customer"
用户 yong4hu4 "user; consumer; subscriber; customer"
户外 hu4wai4 outdoor
网址 wang3zhi3 "website; web address; url"
股 gu3 "thigh; part of a whole; portion of a sum; (stock) share; strand of a thread; classifier for long winding things like ropes, rivers etc; classifier for smoke, smells etc: thread, puff, whiff; classifier for bands of people, gangs etc; classifier for sudden forceful actions"
股东 gu3dong1 "shareholder; stockholder"
博客 bo2ke4 "weblog; blogger"
毕竟 bi4jing4 "after all; all in all; when all is said and done; in the final analysis"
占 zhan4 "to take possession of; to occupy; to take up"
占领 zhan4ling3 "to occupy (a territory); to hold"
占有 zhan4you3 "to have; to own; to hold; to occupy; to possess; to account for (a high proportion etc)"
占据 zhan4ju4 "to occupy; to hold"
忽然 hu1ran2 "suddenly; all of a sudden"
形成 xing2cheng2 "to form; to take shape"
形式 xing2shi4 "outer appearance; form; shape; formality"
形象 xing2xiang4 "image; form; figure; visualization; vivid"
形容 xing2rong2 "to describe; (literary) countenance; appearance"
地形 di4xing2 "topography; terrain; landform"
情形 qing2xing5 "circumstances; situation"
变形 bian4xing2 "to become deformed; to change shape; to morph"
形 xing2 "to appear; to look; form; shape"
严格 yan2ge2 "strict; stringent; tight; rigorous"
严 yan2 "tight (closely sealed); stern; strict; rigorous; severe; father"
严重 yan2zhong4 "grave; serious; severe; critical"
洗 xi3 "to wash; to bathe; to develop (photographs); to shuffle (cards etc); to erase (a recording)"
洗手间 xi3shou3jian1
洗衣机 xi3yi1ji1
清洗 qing1xi3 "to wash; to clean; to purge"
欢迎 huan1ying2 "to welcome; welcome"
迎接 ying2jie1 "to welcome; to greet"
迎来 ying2lai2 "to welcome (a visitor or newcomer); (fig.) to usher in"
背 bei4 "the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing"
背 bei4 "the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing"
背后 bei4hou4 "behind; at the back; in the rear; behind sb's back"
背包 bei1bao1 "knapsack; rucksack; infantry pack; field pack; blanket roll"
背着 bei1zhe5 "carrying on one's back"
背心 bei4xin1 "sleeveless garment (vest, waistcoat, singlet, tank top etc)"
背面 bei4mian4 "the back; the reverse side; the wrong side"
绝望 jue2wang4 "to despair; to give up all hope; desperate; desperation"
绝 jue2 "to cut short; extinct; to disappear; to vanish; absolutely; by no means"
绝大多数 jue2da4duo1shu4
青少年 qing1shao4nian2
青年 qing1nian2 "youth; youthful years; young person; the young"
青 qing1 "green; blue; black; youth; young (of people)"
跳 tiao4 "to jump; to hop; to skip over; to bounce; to palpitate"
跳高 tiao4gao1 "high jump (athletics)"
跳远 tiao4yuan3 "long jump (athletics)"
跳水 tiao4shui3 "to dive (into water); (sports) diving; to commit suicide by jumping into water; (fig.) (of stock prices etc) to fall dramatically"
动物 dong4wu4 animal
事物 shi4wu4 "thing; object"
人物 ren2wu4 "person; personage; figure (esp. sb of importance); character (in a play, novel etc); figure painting (as a genre of traditional chinese painting)"
物价 wu4jia4 "(commodity) prices"
物业 wu4ye4 "property; real estate"
物品 wu4pin3 "articles; goods"
诗 shi1 "poem; poetry; verse"
诗人 shi1ren2 "bard; poet"
诗歌 shi1ge1 poem
拥抱 yong1bao4 "to embrace; to hug"
拥有 yong1you3 "to have; to possess"
编制 bian1zhi4 "to establish (a unit or department); staffing structure (excluding temporary and casual staff); to weave; to plait; to compile; to put together (a lesson plan, budget etc)"
编号 bian1hao4 "to number; numbering; serial number"
编写 bian1xie3 "to compile"
编造 bian1zao4 "to compile; to draw up; to fabricate; to invent; to concoct; to make up; to cook up"
编排 bian1pai2 "to arrange; to lay out"
编辑 bian1ji2 "to edit; to compile; editor; compiler"
专辑 zhuan1ji2 "album; record (music); special collection of printed or broadcast material"
停车 ting2che1 "to pull up (stop one's vehicle); to park; (of a machine) to stop working; to stall"
停 ting2 "to stop; to halt; to park (a car)"
停车场 ting2che1chang3
停下 ting2xia4 "to stop"
不停 bu4ting2 incessant
停留 ting2liu2 "to stay somewhere temporarily; to stop over"
修 xiu1 "to decorate; to embellish; to repair; to build; to write; to cultivate; to study; to take (a class)"
修改 xiu1gai3 "to amend; to alter; to modify"
修理 xiu1li3 "to repair; to fix; to prune; to trim; (coll.) to sort sb out; to fix sb"
装修 zhuang1xiu1 "to decorate; interior decoration; to fit up; to renovate"
修复 xiu1fu4 "to restore; to renovate; (computing) to repair (a corrupted file etc)"
修建 xiu1jian4 "to build; to construct"
选修 xuan3xiu1 "(at a school) to take as an elective; an elective; elective (subject)"
必修 bi4xiu1 "(of an academic course) required; compulsory"
修车 xiu1che1 "to repair a bike (car etc)"
保修 bao3xiu1 "to promise to keep sth in good repair; guarantee; warranty"
贵 gui4 "expensive; noble; precious; (honorific) your"
随便 sui2bian4 "as one wishes; as one pleases; at random; negligent; casual; wanton"
随时 sui2shi2 "at any time; at all times; at the right time; whenever necessary"
随 sui2 "to follow; to comply with; varying according to...; to allow; subsequently"
随手 sui2shou3 "conveniently; without extra trouble; while doing it; in passing"
跟随 gen1sui2 "to follow"
随意 sui2yi4 "as one wishes; according to one's wishes; at will; voluntary; conscious"
随后 sui2hou4 "soon after"
随着 sui2zhe5 "along with; in the wake of; following"
省 sheng3 "to save; to economize; to do without; to omit; to leave out; province"
省钱 sheng3qian2 "to save money"
冷 leng3 cold
冷气 leng3qi4
冷水 leng3shui3 "cold water; unboiled water; fig. not yet ready (of plans)"
批评 pi1ping2 "to criticize; criticism"
批准 pi1zhun3 "to approve; to ratify"
大批 da4pi1 "large quantities of"
申请 shen1qing3 "to apply for sth"
基础 ji1chu3 "base; foundation; basis; basic; fundamental"
猫 mao1 "cat; (coll.) modem"
行李 xing2li5 luggage
系列 xi4lie4 "series; set"
古 gu3 "ancient; old; paleo-"
古代 gu3dai4
古老 gu3lao3 "ancient; old; age-old"
白色 bai2se4 "white; fig. reactionary; anti-communist"
黑色 hei1se4 black
红色 hong2se4 "red (color); revolutionary"
特色 te4se4 "characteristic; distinguishing feature or quality"
色 se4 "color; look; appearance; sex"
脸色 lian3se4 "complexion; look"
本色 ben3se4 "inherent qualities; natural qualities; distinctive character; true qualities"
充满 chong1man3 "full of; brimming with; very full; permeated"
舍不得 she3bu5de5
舍得 she3de5 "to be willing to part with sth"
宿舍 su4she4 "dormitory; dorm room; living quarters; hostel"
超过 chao1guo4 "to surpass; to exceed; to outstrip"
超市 chao1shi4
超级 chao1ji2 "super-; ultra-; hyper-"
超越 chao1yue4 "to surpass; to exceed; to transcend"
超出 chao1chu1 "to exceed; to overstep; to go too far; to encroach"
超 chao1 "to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-"
附件 fu4jian4 "enclosure; attachment (email); appendix"
丈夫 zhang4fu5 husband
软件 ruan3jian4 "(computer) software"
软 ruan3 "soft; flexible"
蓝 lan2 "blue; indigo plant"
蓝色 lan2se4 "blue (color)"
蓝天 lan2tian1 "blue sky"
蓝领 lan2ling3 "blue-collar; blue-collar worker"
大量 da4liang4 "great amount; large quantity; bulk; numerous; generous; magnanimous"
数量 shu4liang4 "amount; quantity; quantitative"
重量 zhong4liang4 weight
能量 neng2liang4 "energy; capabilities"
热量 re4liang4 "heat; quantity of heat; calorific value"
产量 chan3liang4 output
音量 yin1liang4 "loudness; volume"
总量 zong3liang4 "total; overall amount"
累 lei4 "tired; weary; to strain; to wear out; to work hard"
形状 xing2zhuang4 "form; shape"
现状 xian4zhuang4 "current situation"
态度 tai4du5 "manner; bearing; attitude; approach"
动态 dong4tai4 "movement; motion; development; trend; dynamic (science)"
心态 xin1tai4 "attitude (of the heart); state of one's psyche; way of thinking; mentality"
形态 xing2tai4 "shape; form; pattern; morphology"
哈哈 ha1ha5
检查 jian3cha2 "inspection; to examine; to inspect"
体检 ti3jian3
检验 jian3yan4 "to inspect; to examine; to test"
安检 an1jian3 "to do a security check"
资源 zi1yuan2 "natural resource (such as water or minerals); resource (such as manpower or tourism)"
负责 fu4ze2 "to be in charge of; to take responsibility for; to be to blame; conscientious"
负责人 fu4ze2ren2 "person in charge"
负 fu4 "to bear; to carry (on one's back); to turn one's back on; to be defeated; negative (math. etc)"
抱负 bao4fu4 "aspiration; ambition"
保证 bao3zheng4 "guarantee; to guarantee; to ensure; to safeguard; to pledge"
身份证 shen1fen4zheng4
证实 zheng4shi2 "to confirm (sth to be true); to verify"
证书 zheng4shu1 "credentials; certificate"
姑姑 gu1gu5 "paternal aunt"
姑娘 gu1niang5 "girl; young woman; young lady; daughter"
新娘 xin1niang2 bride
肉 rou4 "meat; flesh; pulp (of a fruit); (coll.) (of a fruit) squashy; (of a person) flabby; irresolute; kangxi radical 130"
太阳 tai4yang2
阳光 yang2guang1 "sunshine; (of personality) upbeat; energetic; transparent (open to public scrutiny)"
阳台 yang2tai2 "balcony; porch"
太阳能 tai4yang2neng2
饭店 fan4dian4 "restaurant; hotel"
书店 shu1dian4 bookstore
店 dian4 "inn; old-style hotel; (bound form) shop; store"
酒店 jiu3dian4 "wine shop; pub (public house); hotel; restaurant"
旅店 lü3dian4 "inn; small hotel"
便利店 bian4li4dian4
多云 duo1yun2 "cloudy (meteorology)"
云 yun2 cloud
喊 han3 "to yell; to shout; to call out for (a person)"
痛 tong4 "ache; pain; sorrow; deeply; thoroughly"
痛快 tong4kuai5
痛苦 tong4ku3 "pain; suffering; painful"
值班 zhi2ban1 "to work a shift; on duty"
不值 bu4zhi2 "not worth"
增值 zeng1zhi2 "to appreciate (financially); to increase in value; value-added (accountancy)"
集中 ji2zhong1 "to concentrate; to centralize; to focus; centralized; concentrated; to put together"
集体 ji2ti3 "collective (decision); joint (effort); a group; a team; en masse; as a group"
收集 shou1ji2 "to gather; to collect"
集 ji2 "to gather; to collect; collected works; classifier for sections of a tv series etc: episode"
哥哥 ge1ge5 "older brother"
坏 huai4 "bad; spoiled; broken; to break down; (suffix) to the utmost"
坏人 huai4ren2 "bad person; villain"
坏处 huai4chu5 "harm; troubles"
银行卡 yin2hang2ka3
银行 yin2hang2 bank
银 yin2 "silver; silver-colored; relating to money or currency"
农民 nong2min2 "peasant; farmer"
农村 nong2cun1 "rural area; village"
农业 nong2ye4 "agriculture; farming"
农产品 nong2chan3pin3
空气 kong1qi4 "air; atmosphere"
有空儿 you3kong4
天空 tian1kong1 sky
空中 kong1zhong1 "in the sky; in the air"
太空 tai4kong1 "outer space"
初 chu1 "at first; (at the) beginning; first; junior; basic"
初步 chu1bu4 "initial; preliminary; tentative"
初级 chu1ji2 "junior; primary"
初中 chu1zhong1
当初 dang1chu1 "at that time; originally"
年初 nian2chu1 "beginning of the year"
最初 zui4chu1 "first; primary; initial; original; at first; initially; originally"
初期 chu1qi1 "initial stage; beginning period"
初等 chu1deng3 "elementary (i.e. easy)"
举手 ju3shou3 "to raise a hand; to put up one's hand (as signal)"
举行 ju3xing2 "to hold (a meeting, ceremony etc)"
举 ju3 "to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect; act; move; deed"
举动 ju3dong4 "act; action; activity; move; movement"
选举 xuan3ju3 "to elect; election"
设置 she4zhi4 "to set up; to install"
位置 wei4zhi5 "position; place; seat"
装置 zhuang1zhi4 "to install; installation; equipment; system; unit; device"
紧紧 jin3jin3 "closely; tightly"
无限 wu2xian4 "unlimited; unbounded"
限制 xian4zhi4 "to restrict; to limit; to confine; restriction; limit"
有限 you3xian4 "limited; finite"
普通话 pu3tong1hua4
普通 pu3tong1 "common; ordinary; general; average"
普遍 pu3bian4 "universal; general; widespread; common"
普及 pu3ji2 "to spread extensively; to generalize; widespread; popular; universal; ubiquitous; pervasive"
车票 che1piao4 "ticket (for a bus or train)"
机票 ji1piao4 "air ticket; passenger ticket"
门票 men2piao4 "ticket (for theater, cinema etc)"
票 piao4 "ticket; ballot; banknote; person held for ransom; amateur performance of chinese opera; classifier for groups, batches, business transactions"
票价 piao4jia4 "ticket price; fare; admission fee"
股票 gu3piao4 "share certificate; stock (finance)"
投票 tou2piao4 "to vote; vote"
急 ji2 "urgent; pressing; rapid; hurried; worried; to make (sb) anxious"
着急 zhao2ji2 "to worry; to feel anxious; to feel a sense of urgency; to be in a hurry"
应急 ying4ji2 "to respond to an emergency; to meet a contingency; (attributive) emergency"
街 jie1 street
大街 da4jie1 "street; main street"
街头 jie1tou2 street
休息 xiu1xi5 "rest; to rest"
显然 xian3ran2 "clearly; evidently; obviously"
显得 xian3de5 "to seem; to look; to appear"
显示 xian3shi4 "to show; to illustrate; to display; to demonstrate"
显 xian3 "to make visible; to reveal; prominent; conspicuous; (prefix) phanero-"
显出 xian3chu1 "to express; to exhibit"
概念 gai4nian4 "concept; idea"
纪念 ji4nian4 "to commemorate; to honor the memory of; memento; keepsake; souvenir"
念 nian4 "to read; to study (a subject); to attend (a school); to read aloud; to miss (sb); idea; remembrance"
想念 xiang3nian4 "to miss; to remember with longing; to long to see again"
信念 xin4nian4 "faith; belief; conviction"
失去 shi1qu4 "to lose"
消失 xiao1shi1 "to disappear; to fade away"
失业 shi1ye4 "unemployment; to lose one's job"
失望 shi1wang4 "disappointed; to lose hope; to despair"
效果 xiao4guo3 "result; effect; efficacy; (theater) sound or visual effects"
成效 cheng2xiao4 "effect; result"
无效 wu2xiao4 "not valid; ineffective; in vain"
性质 xing4zhi4 "nature; characteristic"
质量 zhi4liang4 "quality; (physics) mass"
物质 wu4zhi4 "matter; substance; material; materialistic"
本质 ben3zhi4 "essence; nature; innate character; intrinsic quality"
保质期 bao3zhi4qi1
变质 bian4zhi4 "to degenerate; to deteriorate; (of food) to go bad; to go off; (geology) metamorphism"
躺 tang3 "to recline; to lie down"
树 shu4 "tree; to cultivate; to set up"
树林 shu4lin2 "woods; grove; forest"
果树 guo3shu4 "fruit tree"
身材 shen1cai2 "stature; build (height and weight); figure"
题材 ti2cai2 "subject matter"
唯一 wei2yi1 "only; sole"
采用 cai3yong4 "to adopt; to employ; to use"
访问 fang3wen4 "to visit; to call on; to interview"
出访 chu1fang3 "to go and visit in an official capacity or for investigation"
石头 shi2tou5 stone
化石 hua4shi2 fossil
火车 huo3che1 train
火 huo3 "fire; urgent; ammunition; fiery or flaming; internal heat (chinese medicine); hot (popular); kangxi radical 86"
着火 zhao2huo3 "to ignite; to burn"
血 xue4 blood
血管 xue4guan3 "vein; artery"
好奇 hao4qi2 "inquisitive; curious; inquisitiveness; curiosity"
神奇 shen2qi2 "magical; mystical; miraculous"
奇怪 qi2guai4 "strange; odd; to marvel; to be baffled"
怪 guai4 "bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather"
战场 zhan4chang3 battlefield
战术 zhan4shu4 tactics
战友 zhan4you3 "comrade-in-arms; battle companion"
作战 zuo4zhan4 "combat; to fight"
战争 zhan4zheng1 "war; conflict"
争论 zheng1lun4 "to argue; to debate; to contend; argument; contention; controversy; debate"
争议 zheng1yi4 "controversy; dispute; to dispute"
巴不得 ba1bu5de5
不久 bu4jiu3 "not long (after); before too long; soon; soon after"
多久 duo1jiu3 "(of time) how long?; (not) a long time"
好久 hao3jiu3 "quite a while"
长久 chang2jiu3 "(for a) long time"
营业 ying2ye4 "to do business; to trade"
敢 gan3 "to dare; daring; (polite) may i venture"
不敢当 bu4gan3dang1
敢于 gan3yu2 "to have the courage to do sth; to dare to; bold in"
烟 yan1 "cigarette or pipe tobacco; smoke; mist; vapour; tobacco plant; (of the eyes) to be irritated by smoke"
烟花 yan1hua1 "fireworks; prostitute (esp. in yuan theater)"
妹妹 mei4mei5 "younger sister; young woman"
办公室 ban4gong1shi4 "office; business premises; bureau"
教室 jiao4shi4 classroom
实验室 shi2yan4shi4
室 shi4 "room; work unit; grave; scabbard; family or clan; one of the 28 constellations of chinese astronomy"
地下室 di4xia4shi4
试卷 shi4juan4 "examination paper; test paper"
抓紧 zhua1jin3 "to grasp firmly; to pay special attention to; to rush in; to make the most of"
依靠 yi1kao4 "to rely on sth (for support etc); to depend on"
依然 yi1ran2 "still; as before"
依法 yi1fa3 "legal (proceedings); according to law"
依据 yi1ju4 "according to; basis; foundation"
依照 yi1zhao4 "according to; in light of"
依次 yi1ci4 "in order; in succession"
党 dang3 "party; association; club; society"
政党 zheng4dang3 "political party"
仿佛 fang3fu2 "to seem; as if; alike; similar"
佛教 fo2jiao4 buddhism
佛 fu2 "seemingly; (female) head ornament"
复杂 fu4za2 "complicated; complex"
杂 za2 "mixed; miscellaneous; various; to mix"
华人 hua2ren2 "ethnic chinese person or people"
华语 hua2yu3 "chinese language"
中华 zhong1hua2 "china (alternate formal name)"
打球 da3qiu2 "to play ball; to play with a ball"
球 qiu2 "ball; sphere; globe; ball game; match"
地球 di4qiu2 "the earth"
排球 pai2qiu2 volleyball
球场 qiu2chang3 "stadium; sports ground; court; pitch; field; golf course"
网球 wang3qiu2 "tennis; tennis ball"
全球 quan2qiu2 "entire; total; global; the (whole) world; worldwide"
月球 yue4qiu2 "the moon"
球拍 qiu2pai1 racket
球员 qiu2yuan2 "sports club member; footballer, golfer etc"
星期 xing1qi1 "week; day of the week; sunday"
星期日 xing1qi1ri4
星期天 xing1qi1tian1
明星 ming2xing1 "star; celebrity"
星星 xing1xing5 "(coll.) a star; the stars in the sky"
歌星 ge1xing1 "singing star; famous singer"
球星 qiu2xing1 "sports star (ball sport)"
影星 ying3xing1 "film star"
回忆 hui2yi4 "to recall; memories"
记忆 ji4yi4 "to remember; to recall; memory"
刀 dao1 "knife; blade; single-edged sword; cutlass; classifier for sets of one hundred sheets (of paper); classifier for knife cuts or stabs"
分享 fen1xiang3 "to share (let others have some of sth good)"
共享 gong4xiang3 "to share; to enjoy together"
享受 xiang3shou4 "to enjoy; to live it up; pleasure"
黄 huang2 "yellow; pornographic; to fall through"
黄色 huang2se4 "yellow (color); pornographic"
嘴 zui3 "mouth; beak; nozzle; spout (of teapot etc)"
嘴巴 zui3ba5
打印 da3yin4 "to affix a seal; to stamp; to print out (with a printer)"
复印 fu4yin4 "to photocopy; to duplicate a document"
印象 yin4xiang4 "impression (sth that stays in one's mind); a memory"
打印机 da3yin4ji1
脚印 jiao3yin4 footprint
印 yin4 "to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image"
仍旧 reng2jiu4 "still (remaining); to remain (the same); yet"
依旧 yi1jiu4 "as before; still"
冲动 chong1dong4 "to have an urge; to be impetuous; impulse; urge"
冲突 chong1tu1 "conflict; to conflict; clash of opposing forces; collision (of interests); contention"
冲击 chong1ji1 "to attack; to batter; (of waves) to pound against; shock; impact"
冲 chong1 "(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with; thoroughfare; to go straight ahead; to rush; to clash"
报纸 bao4zhi3 "newspaper; newsprint"
纸 zhi3 "paper; classifier for documents, letter etc"
陪 pei2 "to accompany; to keep sb company; to assist"
陪同 pei2tong2 "to accompany"
养 yang3 "to raise (animals); to bring up (children); to keep (pets); to support; to give birth"
营养 ying2yang3 "nutrition; nourishment"
养成 yang3cheng2 "to cultivate; to raise; to form (a habit); to acquire"
保养 bao3yang3 "to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance"
修养 xiu1yang3 "accomplishment; training; self-cultivation"
收养 shou1yang3 "to take in and care for (an elderly person, a dog etc); to adopt (a child); adoption"
养老 yang3lao3 "to provide for the elderly (family members); to enjoy a life in retirement"
练习 lian4xi2 "to practice; exercise; drill; practice"
练 lian4 "to practice; to train; to drill; to perfect (one's skill); exercise; (literary) white silk; to boil and scour raw silk"
训练 xun4lian4 "to train; to drill; training"
落 luo4 "to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement"
落实 luo4shi2 "practical; workable; to implement; to carry out; to decide"
刻 ke4 "quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals"
深刻 shen1ke4 "profound; deep; deep-going"
时刻 shi2ke4 "time; juncture; moment; period of time; constantly; always"
此刻 ci3ke4 "this moment; now; at present"
刻 ke4 "quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals"
牌子 pai2zi5 "sign; trademark; brand"
银牌 yin2pai2 "silver medal"
车牌 che1pai2 "license plate"
打牌 da3pai2 "to play mahjong or cards"
品牌 pin3pai2 "brand name; trademark"
皮 pi2 "leather; skin; fur; pico- (one trillionth); naughty"
皮包 pi2bao1 "handbag; briefcase"
调皮 tiao2pi2 "naughty; mischievous; unruly"
皮球 pi2qiu2 "ball (made of rubber, leather etc)"
围 wei2 "to encircle; to surround; all around; to wear by wrapping around (scarf, shawl)"
包围 bao1wei2 "to surround; to encircle; to hem in"
高速 gao1su4 "high speed"
高速公路 gao1su4gong1lu4
速度 su4du4 "speed; rate; velocity; (music) tempo"
加速 jia1su4 "to speed up; to expedite"
参观 can1guan1 "to look around; to tour; to visit"
观点 guan1dian3 "point of view; viewpoint; standpoint"
观察 guan1cha2 "to observe; to watch; to survey"
观看 guan1kan4 "to watch; to view"
观念 guan1nian4 "notion; thought; concept; sense; views; ideology; general impressions"
主观 zhu3guan1 subjective
观光 guan1guang1 "to tour; sightseeing; tourism"
外观 wai4guan1 "outward appearance"
观众 guan1zhong4 "spectators; audience; visitors (to an exhibition etc)"
听众 ting1zhong4 "audience; listeners"
群众 qun2zhong4 "mass; multitude; the masses"
众多 zhong4duo1 numerous
公众 gong1zhong4 public
优点 you1dian3 "merit; benefit; strong point; advantage"
优美 you1mei3 "graceful; fine; elegant"
优先 you1xian1 "to have priority; to take precedence"
优质 you1zhi4 "excellent quality"
优秀 you1xiu4 "outstanding; excellent"
颗 ke1 "classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
等待 deng3dai4 "to wait; to wait for"
对待 dui4dai4 "to treat; treatment"
待 dai4 "to wait; to treat; to deal with; to need; going to (do sth); about to; intending to"
看待 kan4dai4 "to look upon; to regard"
待会儿 dai1hui5
小型 xiao3xing2 "small scale; small size"
新型 xin1xing2 "new type; new kind"
型 xing2 "mold; type; style; model"
型号 xing2hao4 "model (particular version of a manufactured article); type (product specification in terms of color, size etc)"
造型 zao4xing2 "to model; to shape; appearance; style; design; form; pose"
兴趣 xing4qu4 "interest (desire to know about sth); interest (thing in which one is interested); hobby"
有趣 you3qu4 "interesting; fascinating; amusing"
借 jie4 "to lend; to borrow; by means of; to take (an opportunity)"
堆 dui1 "to pile up; to heap up; a mass; pile; heap; stack; large amount"
构建 gou4jian4 "to construct (sth abstract)"
压 ya1 "to press; to push down; to keep under (control); pressure"
压力 ya1li4 pressure
无聊 wu2liao2 "bored; boring; senseless"
聊天儿 liao2tian1
聊 liao2 "to chat; to depend upon (literary); temporarily; just; slightly"
放弃 fang4qi4 "to renounce; to abandon; to give up"
放假 fang4jia4 "to have a holiday or vacation"
请假 qing3jia4 "to request leave of absence"
假 jia3 "fake; false; artificial; to borrow; if; suppose; to borrow"
假期 jia4qi1 vacation
休假 xiu1jia4 "to go on vacation; to have a holiday; to take leave"
长假 chang2jia4 "long vacation"
假日 jia4ri4 "holiday; non-working day"
节假日 jie2jia4ri4
半真半假 ban4zhen1ban4jia3
骂 ma4 "to scold; to abuse; to curse"
推销 tui1xiao1 "to market; to sell"
报销 bao4xiao1 "to submit an expense account; to apply for reimbursement; to write off; to wipe out"
销售 xiao1shou4 "to sell; to market; sales (representative, agreement etc)"
船 chuan2 "boat; vessel; ship"
划船 hua2chuan2 "to row a boat; rowing boat; rowing (sport)"
船员 chuan2yuan2 "sailor; crew member"
船只 chuan2zhi1 "ship; boat; vessel"
船长 chuan2zhang3 "captain (of a boat); skipper"
飞船 fei1chuan2 "spaceship; spacecraft; dirigible; airship"
打破 da3po5
破坏 po4huai4 "destruction; damage; to wreck; to break; to destroy"
破 po4 "broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of"
突破 tu1po4 "to break through; to make a breakthrough; to surmount (an obstacle); (sports) to break through the opponent's defense"
取 qu3 "to take; to get; to choose; to fetch"
取得 qu3de2 "to acquire; to get; to obtain"
采取 cai3qu3 "to adopt or carry out (measures, policies, course of action); to take"
取消 qu3xiao1 "to cancel; cancellation"
领取 ling3qu3 "to receive; to draw; to get"
收取 shou1qu3 "to receive; to collect"
听取 ting1qu3 "to hear (news); to listen to"
茶 cha2 "tea; tea plant"
红茶 hong2cha2 "black tea"
挂 gua4 "to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned; to register or record; classifier for sets or clusters of objects; (slang) to kill; to die; to be finished; to fail (an exam)"
采纳 cai3na4 "to accept; to adopt"
错误 cuo4wu4 "mistaken; false; wrong; error; mistake"
误会 wu4hui4 "to misunderstand; to mistake; misunderstanding"
失误 shi1wu4 "lapse; mistake; to make a mistake; fault; service fault (in volleyball, tennis etc)"
误解 wu4jie3 "to misunderstand; misunderstanding"
误 wu4 "mistake; error; to miss; to harm; to delay; to neglect; mistakenly"
台阶 tai2jie1 "steps; flight of steps; step (over obstacle); fig. way out of an embarrassing situation; bench (geology)"
春节 chun1jie2 "spring festival (chinese new year)"
春天 chun1tian1 "spring (season)"
鸡 ji1 "fowl; chicken; (slang) prostitute"
公鸡 gong1ji1 "cock; rooster"
母鸡 mu3ji1 hen
年龄 nian2ling2 "(a person's) age"
微笑 wei1xiao4 "smile; to smile"
微信 wei1xin4
微博 wei1bo2 "microblogging; microblog"
职位 zhi2wei4 "position; post; job"
职能 zhi2neng2 "function; role"
职务 zhi2wu4 "post; position; job; duties"
求职 qiu2zhi2 "to seek employment"
职责 zhi2ze2 "duty; responsibility; obligation"
便宜 bian4yi2 convenient
短 duan3 "short; brief; to lack; weak point; fault"
短信 duan3xin4 "text message; sms"
短处 duan3chu5
短期 duan3qi1 "short term; short-term"
长短 chang2duan3 "length; accident; mishap; right and wrong; good and bad; merits and demerits"
短片 duan3pian4 "short film; video clip"
寻找 xun2zhao3 "to seek; to look for"
寻求 xun2qiu2 "to seek; to look for"
味道 wei4dao5 "flavor; smell; hint of"
味儿 wei4
意味着 yi4wei4zhe5
藏 cang2 "to conceal; to hide away; to harbor; to store; to collect"
收藏 shou1cang2 "to collect (works of art, dolls, antiques etc); to put away for safekeeping; (internet) to bookmark; a collection"
替代 ti4dai4 "to substitute for; to replace; to supersede"
替 ti4 "to substitute for; to take the place of; to replace; for; on behalf of; to stand in for"
床 chuang2 "bed; couch; classifier for beds"
起床 qi3chuang2 "to get out of bed; to get up"
军人 jun1ren2 "serviceman; soldier; military personnel"
亚军 ya4jun1 "second place (in a sports contest); runner-up"
海军 hai3jun1 navy
