"boss; superior" 上司
"clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to be convinced (by an argument); to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes" 服
"to serve; service" 服务
clothes 衣服
"comfortable; feeling well" 舒服
"dress; clothing; costume; clothes" 服装
"affair; business; matter; to be engaged in; to attend to; by all means" 务
"business; professional work; service" 业务
"commercial affairs; commercial; commerce; business" 商务
"to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)" 解决
"not at all; simply (can) not" 决不
"firm; resolute; determined" 坚决
"outer appearance; form; shape; formality" 形式
"mode; method; pattern" 模式
"to divide; to break up; to split; to separate; to dissolve; to solve; to melt; to remove; to untie; to loosen; to open; to emancipate; to explain; to understand; to know; a solution; a dissection" 解
"explanation; to explain; to interpret; to resolve" 解释
"order; command" 命令
"to give an order; to command" 下令
"order; command; instruction" 指令
"commanding officer" 司令
"to show; to illustrate; to display; to demonstrate" 显示
"to point out; to remind (sb of sth); to suggest; suggestion; tip; reminder; notice" 提示
"happening; instance; reason; cause; intentional; former; old; friend; therefore; hence; (of people) to die, dead" 故
"deliberately; on purpose" 故意
accident 事故
"reason; cause" 缘故
"letter; mail; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random" 信
"information; news; message" 信息
"to be convinced (that sth is true); to believe; to accept sth as true" 相信
"text message; sms" 短信
"confidence; faith (in sb or sth)" 信心
"news; information" 消息
"rest; to rest" 休息
"breath; smell; odor; flavor" 气息
"tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill (slang); to fuck (vulgar); (coll.) pissed off; annoyed" 干
"cadre; official; officer; manager" 干部
"clean; neat" 干净
"candid; direct and to the point; simply; just; might as well" 干脆
"more and more" 越来越
"vietnam; vietnamese" 越南
"to surpass; to exceed; to transcend" 超越
"to pass through; to traverse; to cross" 穿越
"early; morning; long ago; prematurely" 早
"early morning" 早上
breakfast 早餐
"original; former; originally; formerly; at first; so, actually, as it turns out" 原来
"to create (sth original); (adj.) original; originality; original work" 原创
"red; popular; revolutionary; bonus" 红
"red (color); revolutionary" 红色
"red flag" 红旗
"very red; red through and through; to blush (deep red)" 通红
"to offer; to supply; to provide; to furnish" 提供
"to remind; to call attention to; to warn of" 提醒
"to supply; to provide; to offer" 供应
"to furnish; to provide; supply (as in supply and demand)" 供给
"to supply; to provide for one's elders; to support one's parents" 供养
"reality; practice; practical; realistic; real; actual" 实际
"during; at the time of" 之际
"communication; social intercourse" 交际
"france; french; law; method; way; to emulate; law" 法
"means; method; way (of doing sth)" 办法
"france; french" 法国
"for a particular person, occasion, purpose; focused on one thing; special; expert; particular (to sth); concentrated; specialized" 专
"expert; specialist" 专家
"album; record (music); special collection of printed or broadcast material" 专辑
"to smell; to sniff sth out; to perceive by smelling" 闻到
"well-known; famous; renowned; eminent" 闻名
rumor 传闻
"to leave a message; to leave one's comments; message" 留言
"speaking in terms of ..." 而言
"to make a speech; statement; utterance" 发言
"to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker)" 受
"to accept; to receive" 接受
"to receive (praise, an education, punishment etc); to be ...ed (praised, educated, punished etc)" 受到
"to enjoy; to live it up; pleasure" 享受
"sheet; piece of writing; classifier for written items: chapter, article" 篇
"lengthy (report or speech)" 长篇
"length (of a piece of writing); space occupied on a printed page" 篇幅
"writing; sections and chapters" 篇章
"a poem; a composition in verse; fig. epic (compared with historical epic); the biblical book of psalms" 诗篇
"side; edge; margin; border; boundary; simultaneously" 边
"one side; either side; on the one hand; on the other hand; doing while" 一边
"at one's side; on hand" 身边
"side; adjacent place" 旁边
"over there; yonder" 那边
"to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet" 包
"to comprise; to include; to involve; to incorporate; to consist of" 包括
bread 面包
"to pack; to package; to wrap; packaging" 包装
"to contain; to embody; to include" 包含
"to enclose; to include" 括
"to summarize; to generalize; briefly; in broad outline" 概括
"parentheses; brackets" 括号
"to include; to embrace; to bring together" 囊括
"eye; (literary) to look; to regard; eye (of a net); mesh; mesh size; item; section; list; catalogue; (taxonomy) order; name; title" 目
"item; project; (sports) event" 项目
"target; goal; objective" 目标
"to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of" 离
"distance; to be apart from" 距离
"to divorce" 离婚
"to leave; to exit" 离去
"particle placed after each item in a list of examples" 啦
"with a crash" 哗啦
"to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction" 介绍
"summary; brief introduction" 简介
"to act as intermediary; to link; intermediate; inter-; agency; agent" 中介
"to intervene; to get involved" 介入
"to continue; to carry on" 绍
"shaoxing, prefecture-level city in zhejiang" 绍兴
"how; which" 哪
"which; who" 哪个
"which ones?; who?; what?" 哪些
"even; even if; even though; no matter how" 哪怕
"who would have imagined?; unexpectedly" 哪知
"knowledge; intellectual" 知识
"to get to know each other; acquaintance" 相识
"to gain first-hand knowledge of sth; to experience for oneself; knowledge; experience; insight" 见识
"father; dad; pa; papa" 爸
"(informal) father" 爸爸
"father; dad" 老爸
"abba (aramaic word father); by ext. god the father in christian gospel; (dialect) father" 阿爸
