"confused and disorderly; mixed" 淆
"populous and affluent" 富庶
"the multitude of common people (in highbrow literature); plebeian" 庶民
"bastard; commoner son of royalty" 庶子
"handan prefecture-level city in hebei; also handan county" 邯郸
mole 黑痣
"household utensils" 器皿
"to frown" 蹙眉
"at one's wit's end; unable to find a way out" 没辙
"natural; graceful; and poised" 雍容
"underarm; armpit" 腋下
armpit 腋窝
"inner heart; soul" 心扉
"title page; flyleaf; end paper" 扉页
"to confine; to imprison; prohibition; shackles; fetters" 禁锢
anus 肛门
"qilin (mythical chinese animal); kylin; chinese unicorn; commonly mistranslated as giraffe" 麒麟
arc 弧线
"curve; arc" 弧形
"radian; arc; curve; curvature" 弧度
"to swirl about; (of leaves and branches) to sway" 婆娑
"literal-minded; pedantic; doctrinaire; longwinded; circuitous" 迂
"roundabout route; circuitous; tortuous; to outflank; indirect; roundabout" 迂回
"pedantic; trite; inflexible; adherence to old ideas" 迂腐
"rough; rude; boorish; straightforward; uninhibited" 粗犷
"totally different" 迥异
"(dialect) what" 啥子
bracelet 手镯
bracelet 镯子
"summit; apex; pinnacle (of one's career etc); peak (of a civilization etc)" 巅峰
summit 山巅
"tweezers; nippers; pliers" 镊子
"nervous; apprehensive" 忐忑
"down on one's luck; in straitened circumstances; disappointed; frustrated" 潦倒
"slipshod; careless; slovenly; (of handwriting) scrawly; illegible" 潦草
inspection 稽查
"hard pressed for money; in financial straits" 拮据
"hail; hailstone" 冰雹
"amnesty; general pardon" 大赦
"to pardon; to absolve; to exempt from punishment" 赦免
"to grant a special pardon" 特赦
"pliers; pincers; tongs; forceps; vise; clamp; claw (of a crab etc); (dialect) earring" 钳子
"to suppress; to muzzle; to gag" 钳制
"fitter; benchwork" 钳工
