"party committee" 党委
"to request sb to do sth" 拜托
"grass; straw; manuscript; draft (of a document); careless; rough" 草
"grassland; prairie" 草原
"lawn; meadow; sod; turf" 草地
lawn 草坪
"draft (legislation, proposal etc)" 草案
"procedures; sequence; order; computer program" 程序
"order (orderly); order (sequence); social order; the state (of society)" 秩序
"sequence; order" 顺序
"regular; orderly; successive; in order" 有序
woman 妇女
"daughter-in-law; wife (of a younger man); young married woman; young woman" 媳妇
"married woman" 妇人
"table; desk; classifier for tables of guests at a banquet etc" 桌
"table; desk" 桌子
"dining table; dinner table" 餐桌
"desk-mate; seat-mate" 同桌
"desktop; tabletop" 桌面
"also jilin prefecture-level city, jilin province" 吉林
"lucky; auspicious; propitious" 吉祥
"geely, chinese car make; auspicious; lucky; propitious" 吉利
peninsula 半岛
island 岛屿
"group of islands; archipelago" 群岛
"to implement; to carry out" 实施
"measure; step" 措施
"facilities; installation" 设施
"construction; to carry out construction or large-scale repairs" 施工
"river bank" 河边
river 河流
"river water" 河水
"white jade; tofu (by analogy)" 白玉
"yulan magnolia" 玉兰
"(main) hall; large room for a specific purpose; relationship between cousins etc on the paternal side of a family; of the same clan; classifier for classes, lectures etc; classifier for sets of furniture" 堂
"dining hall; cafeteria" 食堂
"church; chapel" 教堂
"paradise; heaven" 天堂
"to return to; to come (or go) back" 返回
"to go back and forth; to go to and fro; to do a round trip" 往返
"to return to" 重返
"to repatriate (e.g. prisoners of war); to send back" 遣返
"to ride a bike (motorbike or bicycle)" 骑车
"knight; cavalier" 骑士
"to ride a horse" 骑马
cavalry 骑兵
"to ride (in a car or carriage); to drive; to motor" 乘车
"to ride as a passenger; to travel by (car, plane etc)" 搭乘
"trouble; inconvenience; inconvenient; troublesome; annoying; to bother sb; to put sb to trouble" 麻烦
mahjong 麻将
"sparrow; (dialect) mahjong" 麻雀
"to feel vexed; to bother; to trouble; superfluous and confusing; edgy" 烦
"to be worried; to be distressed; worries" 烦恼
"jittery; twitchy; fidgety" 烦躁
"bored; fed up with sth; sick of sth" 厌烦
"to mail; to send by post" 邮寄
"to stay; to lodge; to board" 寄宿
"to deposit; to store; to leave sth with sb" 寄存
"to scare; scary; frightening" 吓人
"to be terrified; to terrify sb" 吓坏
"to threaten; to menace" 恐吓
"to scare; to frighten" 吓唬
"domain name (computing)" 域名
"area; district; region" 地域
"to compel; to force" 强迫
"big; large; great" 伟
"huge; great; grand; worthy of the greatest admiration; important (contribution etc)" 伟大
"grand; imposing; magnificent" 宏伟
"great person" 伟人
"grand; imposing; magnificent; majestic" 雄伟
"look; style; appearance; approximation; about" 模样
"vague; indistinct; fuzzy" 模糊
"element (key component of sth); (chemistry) element; (math.) element (member of a set)" 元素
"essential factor; key constituent" 要素
bottle 瓶子
"flower vase; (fig.) female employee considered to be just a pretty face (attractive but not very competent)" 花瓶
"neck of a bottle; (fig.) bottleneck; problem that impedes progress" 瓶颈
"bottle cap" 瓶盖
"in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day" 一旦
"new year's day" 元旦
jordan 约旦
"satan or shaitan" 撒旦
foolish 傻
"idiot; fool" 傻瓜
"idiot; fool" 傻子
"to giggle; to laugh foolishly; to smirk; to simper" 傻笑
"stunned; struck dumb; flabbergasted" 傻眼
"to kidnap; to abduct; to hijack; a kidnapping; abduction; staking" 绑架
"to fight; to scuffle; to come to blows" 打架
"to quarrel; to have a row; quarrel" 吵架
bookshelf 书架
"tint; coloring; coloration; (fig.) flavor; character" 色彩
"color; multicolored" 彩色
"luster; splendor; radiance; brilliance" 光彩
"parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; (internet slang) dear" 亲
"personally; in person; oneself" 亲自
"one's close relatives" 亲人
"a relative (i.e. family relation)" 亲戚
"to rescue" 抢救
